episode,seed,steps,total_reward,coverage_fraction,valid_action_fraction,reward_exploration,reward_coverage,reward_collision_avoidance,reward_boundary,reward_dynamic_obstacle_avoidance,reward_uav_separation,reward_mission_completion,reward_energy_efficiency,collisions_uav_uav,collisions_uav_static_obstacle,collisions_uav_dynamic_obstacle,collisions_uav_boundary
1,42,500,-594693.2472045028,0.527363184079602,0.06866666666666667,1078.8344948473703,52555.95994878375,-10500.0,-574984.2800000036,-1116.219790272972,-53001.42348056677,0.0,-8726.118377293751,116,9,6,1103
2,43,500,-614444.6967501695,0.5343137254901961,0.07066666666666667,1031.7402277214571,54485.43134093556,-14400.0,-582560.470000003,-1595.3346536123538,-62747.9977727958,0.0,-8658.065892418881,138,18,3,1123
3,44,500,-406096.39847210096,0.67,0.08733333333333333,1633.9521292007255,51445.72629313819,-8300.0,-407358.45999999985,-777.5985574209699,-33776.0832521276,0.0,-8963.93508489093,74,8,0,879
1,42,500,-340806.99160018645,0.46766169154228854,0.06066666666666667,932.8374388840098,49635.45452055456,-6450.0,-271323.7300000017,-1121.5163753374188,-103729.44729251218,0.0,-8750.589891775098,232,6,1,1240
2,43,500,-220534.86713644618,0.7450980392156863,0.09933333333333333,1385.544300202945,68115.06035076929,-18500.0,-203225.11000000086,-978.7434255847221,-58700.34300091405,0.0,-8631.275360919532,132,20,1,910
3,44,500,-180746.44632436926,0.595,0.07733333333333334,1532.4498182982068,45340.786188103484,-16600.0,-169882.26999999993,-1413.9790766739238,-30769.73329093162,0.0,-8953.699963165007,68,19,1,901
4,45,500,-180442.87761754924,0.7425742574257426,0.098,1615.742691008008,64718.24248740229,-20850.0,-189263.2100000001,-1778.6712505672153,-26236.670665038586,0.0,-8648.310880353547,56,30,2,864
5,46,500,-204376.25419181815,0.65,0.08466666666666667,1263.2734679396087,57392.31313379095,-23150.0,-198911.5100000006,-1377.7180211249818,-30459.581101768676,0.0,-9133.031670654844,66,14,1,967
6,47,500,-552804.5666449254,0.39901477832512317,0.052,795.3745200909295,45217.87850835612,-4300.0,-287534.6100000015,-1657.7327868836733,-296520.06076812017,0.0,-8805.416118369067,674,4,2,1324
7,48,500,-416448.16046740866,0.5671641791044776,0.074,1003.6260626396668,54762.2259950196,-13050.0,-245148.23000000065,-841.1150703343072,-203966.36668940453,0.0,-9208.300765328777,462,15,0,1164
8,49,500,-272237.02186467586,0.585,0.076,1039.0069018521306,59106.87036129794,-12950.0,-250712.8500000004,-1239.817858821078,-58329.61149166819,0.0,-9150.619777336646,130,11,2,1108
9,50,500,-215150.5624624733,0.71,0.09266666666666666,1247.5138772102682,64944.10865398713,-14150.0,-221433.95000000056,-3866.8637639551503,-33209.65398108629,0.0,-8681.717248629011,68,14,6,1033
10,51,500,-248170.11852436833,0.6467661691542289,0.08466666666666667,1226.1589441099877,61720.77313379085,-9500.0,-242399.25000000055,-3504.0007986658748,-46724.67644405529,0.0,-8989.123359547735,102,11,6,1110
11,52,500,-236021.27529857846,0.6616915422885572,0.08666666666666667,1199.664117138937,63551.72300955588,-10450.0,-243875.44000000085,-1549.1522811653822,-36426.64322393742,0.0,-8471.426920170352,82,10,2,1134
12,53,500,-214836.69496855172,0.5911330049261084,0.078,1540.8524966159118,52952.65618810335,-13750.0,-215148.24000000017,-1669.695631003433,-30128.750185254918,0.0,-8633.517837012496,64,16,2,1047
13,54,500,-334067.1270963097,0.495,0.064,691.8626093576712,54227.98821356077,-7000.0,-280335.97000000154,-4843.119900550305,-88154.18303573124,0.0,-8653.704982946407,198,7,6,1241
14,55,500,-347186.19150546956,0.5247524752475248,0.06866666666666667,1282.2234584166674,45331.47994878385,-4550.0,-228420.3500000005,-1438.5883979321475,-150342.0589774198,0.0,-9048.897537317604,336,2,1,1199
15,56,500,-406053.6755081268,0.594059405940594,0.078,987.1274748377951,60021.43618810322,-6050.0,-262115.57000000123,-2879.4619956317997,-186549.60500063738,0.0,-9467.602174798685,422,5,3,1205
16,57,500,-559947.8348094635,0.5148514851485149,0.06733333333333333,751.5192518534994,56902.841727759405,-8600.0,-287335.29000000155,-921.4780276111525,-311576.9075902961,0.0,-9168.52017116889,706,5,1,1318
17,58,500,-251224.1525851308,0.385,0.04933333333333333,2048.357598384921,22589.190862029533,-4650.0,-194872.07000000033,-721.7974786367033,-66612.13140234671,0.0,-9005.702164561482,148,6,1,1231
18,59,500,-436106.17611535697,0.6666666666666666,0.08733333333333333,1341.1552418638853,66424.06629313796,-27800.0,-248001.2900000011,-877.648107514985,-218084.485082602,0.0,-9107.974460241601,488,26,0,1166
19,60,500,-263298.40577550116,0.6798029556650246,0.09,1440.3687346527886,62775.49094942516,-10500.0,-233583.6100000017,-2652.4654798301494,-71999.40752948461,0.0,-8778.782450264267,154,9,4,1160
20,61,500,-578730.0620217808,0.155,0.018666666666666668,333.5933157007661,24072.898828217956,-1450.0,-318389.70000000217,-1607.1268749913513,-272478.42747575836,0.0,-9211.299814950047,610,1,2,1416
21,62,500,-373971.5953624872,0.305,0.03866666666666667,367.74088126860204,38981.23391097729,-1750.0,-305655.69000000204,-143.947789752863,-97335.3975524361,0.0,-8435.53481254436,218,1,0,1356
22,63,500,-234411.61800508652,0.39901477832512317,0.052,1474.9210340866105,40453.45850835623,-3150.0,-258409.45000000135,-506.2086062159869,-5414.2702731632635,0.0,-8860.06866815013,12,3,0,1221
23,64,500,-434423.50295600924,0.4158415841584158,0.054,1553.0827821880498,34315.43372854024,-20450.0,-219524.4400000008,-4921.68026667816,-216280.8680665612,0.0,-9115.031133497667,480,5,7,1272
24,65,500,-567363.3115485009,0.48756218905472637,0.06333333333333334,1103.126293690495,45887.2154862882,-8350.0,-232041.4300000006,-1783.6778167887474,-362686.90574630484,0.0,-9491.639765385898,828,7,3,1082
25,66,500,-200956.8504600321,0.6268656716417911,0.082,1449.509095360339,59470.796146719935,-13550.0,-233043.47000000067,-957.256936129484,-5484.286365826768,0.0,-8842.14240015594,12,14,1,1082
26,67,500,-214021.518665684,0.6683168316831684,0.088,1513.3037841032651,58926.39295980473,-20200.0,-214591.09999999992,-2267.382246826261,-28492.893781895513,0.0,-8909.839380870153,64,25,3,1090
27,68,500,-404005.44024861633,0.4626865671641791,0.06,993.7261264171062,45837.26686098013,-10300.0,-234651.630000001,-1659.228483263516,-194905.11234544314,0.0,-9320.46240730668,430,7,1,1036
28,69,500,-436008.0234489714,0.47029702970297027,0.06133333333333333,1764.4347923899354,40104.91873108104,-17800.0,-204708.11000000066,-3570.182106578276,-243073.1923656905,0.0,-8725.892500173471,544,10,4,1054
29,70,500,-447437.65838917415,0.2623762376237624,0.03333333333333333,867.2399374015935,32059.771322369787,-11950.0,-285185.63000000134,-1138.9919964542519,-172917.28817884397,0.0,-9172.759473647478,382,16,2,1295
30,71,500,-205678.4461731149,0.5422885572139303,0.07066666666666667,2053.261648838022,46669.291340935706,-15450.0,-227033.28000000014,-3469.769500317397,0.0,0.0,-8447.94966257116,0,3,6,1285
31,72,500,-795449.6787042159,0.33,0.042,1214.9451373195695,28506.05908527905,-7000.0,-238980.21000000066,-152.31271575545162,-569957.7810455146,0.0,-9080.379165543942,1300,4,0,1240
32,73,500,-546548.9123864158,0.24378109452736318,0.030666666666666665,759.7571670217803,30658.942461446022,-5000.0,-299692.4300000016,-1542.3352471097212,-262515.98206163733,0.0,-9216.864706136923,586,5,2,1393
33,74,500,-822534.5826723146,0.3383084577114428,0.043333333333333335,610.1827852945653,40833.37741714889,-6600.0,-290543.45000000176,-597.7766933726464,-557225.8187316037,0.0,-9011.097449780942,1274,6,1,1295
34,75,500,-326229.4669922411,0.265,0.03333333333333333,1757.097054396372,18109.05132236966,-2800.0,-229738.04000000082,-265.74492190768814,-104187.20406926789,0.0,-9104.626377831664,228,1,0,1279
35,76,500,-384211.7445419647,0.52,0.06733333333333333,1295.5486590868359,52512.10172775946,-18550.0,-250350.9500000008,-3894.7951534623035,-156276.23567309685,0.0,-8947.414102252164,348,7,6,1196
36,77,500,-406345.76508412213,0.48,0.062,890.0747193341867,50129.51623108088,-12700.0,-256092.44000000125,-440.4905462943889,-179172.00331732287,0.0,-8960.422170919888,398,13,0,1125
37,78,500,-230532.2317342741,0.5198019801980198,0.068,946.5778584375716,50292.27315633091,-33950.0,-215785.65000000063,-3111.518307271629,-19895.9688461814,0.0,-9027.945595589244,40,44,4,960
38,79,500,-426560.95907926955,0.5572139303482587,0.07266666666666667,1248.9821567011502,48001.7153476047,-23150.0,-209051.65000000113,-1555.6939781352091,-233540.37771013405,0.0,-8513.934895306304,530,8,2,1148
39,80,500,-162487.7571860041,0.6089108910891089,0.08,1980.7988679734963,50997.89359925461,-7950.0,-186480.9000000001,-3154.0527664056094,-8762.061806552578,0.0,-9119.435080273894,16,3,4,883
40,81,500,-396054.7984708149,0.5,0.06466666666666666,1353.2036154844009,45285.336213560964,-21300.0,-227669.33000000063,-168.90412279906974,-184899.91045566098,0.0,-8655.19372140024,418,9,0,1200
41,82,500,-319234.5448655695,0.5024875621890548,0.06533333333333333,1193.362592235504,47240.97383732328,-4650.0,-232668.64000000083,-1576.7787637841095,-119664.92262210933,0.0,-9108.53990923436,264,3,1,1070
42,83,500,-651296.5026195056,0.527363184079602,0.06866666666666667,858.7776583359281,55950.219948783684,-4600.0,-274929.17000000144,-878.3109485119337,-418344.05977592524,0.0,-9353.959502187974,952,4,1,1236
43,84,500,-465743.27534458914,0.47058823529411764,0.062,908.2513892850241,52309.31623108083,-18650.0,-270828.49000000145,-290.23173520048283,-220105.5014279674,0.0,-9086.61980178694,486,26,0,1201
44,85,500,-239205.50816468042,0.6069651741293532,0.07933333333333334,1439.78440992515,58054.42189193744,-10750.0,-241146.87000000066,-2797.278141284746,-35000.14033815307,0.0,-9005.42598710512,76,10,4,1136
