2026-07-27 02:50:53,460 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=260 reward=-1589.74 cum_reward=-330879.69 coverage=0.322 valid_action_frac=0.079 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-14.2)}
2026-07-27 02:50:53,539 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=280 reward=-1534.11 cum_reward=-361034.09 coverage=0.322 valid_action_frac=0.074 breakdown={'exploration': 2.2, 'coverage': 0.0, 'collision_avoidance': -700.0, 'boundary': -825.2, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-11.1)}
2026-07-27 02:50:53,652 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=300 reward=-1501.22 cum_reward=-391854.13 coverage=0.322 valid_action_frac=0.069 breakdown={'exploration': 0.4, 'coverage': -31.1, 'collision_avoidance': -400.0, 'boundary': -1050.3, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-20.1)}
2026-07-27 02:50:53,746 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=320 reward=-1684.76 cum_reward=-419203.65 coverage=0.322 valid_action_frac=0.064 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': -400.0, 'boundary': -1275.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-9.3)}
2026-07-27 02:50:53,849 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=340 reward=-1632.53 cum_reward=-454061.19 coverage=0.322 valid_action_frac=0.061 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': -30.5, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-26.5)}
2026-07-27 02:50:54,004 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=360 reward=-1612.56 cum_reward=-482333.48 coverage=0.322 valid_action_frac=0.057 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': -550.0, 'boundary': -1050.3, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-12.2)}
2026-07-27 02:50:54,113 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=380 reward=-1601.31 cum_reward=-515189.31 coverage=0.322 valid_action_frac=0.054 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-25.8)}
2026-07-27 02:50:54,228 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=400 reward=-1590.50 cum_reward=-546983.17 coverage=0.322 valid_action_frac=0.052 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-15.0)}
2026-07-27 02:50:54,332 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=420 reward=-1606.39 cum_reward=-578522.54 coverage=0.322 valid_action_frac=0.049 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-30.9)}
2026-07-27 02:50:54,422 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=440 reward=-1592.20 cum_reward=-609606.85 coverage=0.322 valid_action_frac=0.047 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': -0.6, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-16.1)}
2026-07-27 02:50:54,512 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=460 reward=-1625.02 cum_reward=-639917.51 coverage=0.322 valid_action_frac=0.045 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': -26.2, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-23.3)}
2026-07-27 02:50:54,615 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=480 reward=-1631.25 cum_reward=-671616.04 coverage=0.322 valid_action_frac=0.043 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': -31.2, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-24.6)}
2026-07-27 02:50:54,741 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=499 reward=-1996.95 cum_reward=-702059.42 coverage=0.322 valid_action_frac=0.041 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': -400.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-21.4)}
2026-07-27 02:50:54,741 | INFO    | uav_swarm_ppo.experiments.run_experiment | Episode ended at step 499 (terminated=False, truncated=True)
2026-07-27 02:50:56,548 | INFO    | uav_swarm_ppo.experiments.run_experiment | Smoke test complete. Final info: {'coverage_fraction': 0.3217821782178218, 'valid_action_fraction': 0.04133333333333333, 'collision_counts': {'uav_uav': 48, 'uav_static_obstacle': 164, 'uav_dynamic_obstacle': 1, 'uav_boundary': 1185}, 'step_count': 500, 'reward_breakdown': {'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': -400.0, 'boundary': -1575.5099999999998, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-21.437962785115438), 'total': np.float64(-1996.9479627851151)}}
2026-08-17 01:48:44,981 | INFO    | uav_swarm_ppo.experiments.run_experiment | Building SwarmFarmEnv...
2026-08-17 01:48:46,763 | INFO    | uav_swarm_ppo.experiments.run_experiment | Initial info: {'coverage_fraction': 0.01485148514851485, 'valid_action_fraction': 0.0, 'collision_counts': {'uav_uav': 0, 'uav_static_obstacle': 0, 'uav_dynamic_obstacle': 0, 'uav_boundary': 0}, 'step_count': 0}
2026-08-17 01:48:50,496 | INFO    | uav_swarm_ppo.experiments.run_experiment | Gymnasium render() returned array of shape (900, 900, 3) dtype uint8
2026-08-17 01:48:50,506 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=  0 reward= 3685.68 cum_reward=   3685.68 coverage=0.025 valid_action_frac=0.667 breakdown={'exploration': 8.7, 'coverage': 3946.1, 'collision_avoidance': 0.0, 'boundary': -225.2, 'dynamic_obstacle_avoidance': -25.2, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-18.7)}
2026-08-17 01:48:50,601 | INFO    | uav_swarm_ppo.experiments.run_experiment | step= 20 reward= -819.24 cum_reward=  11441.78 coverage=0.134 valid_action_frac=0.381 breakdown={'exploration': 3.8, 'coverage': -31.1, 'collision_avoidance': 0.0, 'boundary': -750.3, 'dynamic_obstacle_avoidance': -22.6, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-18.9)}
2026-08-17 01:48:50,679 | INFO    | uav_swarm_ppo.experiments.run_experiment | step= 40 reward= -799.30 cum_reward=  -5466.22 coverage=0.168 valid_action_frac=0.252 breakdown={'exploration': 2.0, 'coverage': -31.1, 'collision_avoidance': 0.0, 'boundary': -750.3, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-19.8)}
2026-08-17 01:48:50,766 | INFO    | uav_swarm_ppo.experiments.run_experiment | step= 60 reward= -537.41 cum_reward= -21582.95 coverage=0.213 valid_action_frac=0.219 breakdown={'exploration': 2.2, 'coverage': 525.6, 'collision_avoidance': 0.0, 'boundary': -1050.3, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-14.9)}
2026-08-17 01:48:50,839 | INFO    | uav_swarm_ppo.experiments.run_experiment | step= 80 reward=-2451.87 cum_reward= -49779.39 coverage=0.223 valid_action_frac=0.173 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': -866.1, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-10.2)}
2026-08-17 01:48:50,907 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=100 reward=-1594.98 cum_reward= -82371.36 coverage=0.223 valid_action_frac=0.139 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-19.5)}
2026-08-17 01:48:50,981 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=120 reward=-1500.35 cum_reward=-112982.20 coverage=0.223 valid_action_frac=0.116 breakdown={'exploration': 5.0, 'coverage': 0.0, 'collision_avoidance': -150.0, 'boundary': -1350.3, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-5.0)}
2026-08-17 01:48:51,084 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=140 reward=-1632.92 cum_reward=-150385.16 coverage=0.223 valid_action_frac=0.099 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': -31.4, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-26.0)}
2026-08-17 01:48:51,161 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=160 reward=-1601.75 cum_reward=-187015.27 coverage=0.223 valid_action_frac=0.087 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-26.2)}
2026-08-17 01:48:51,205 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=180 reward=-1594.66 cum_reward=-221313.56 coverage=0.223 valid_action_frac=0.077 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': -5.4, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-13.7)}
2026-08-17 01:48:51,244 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=200 reward=-1626.71 cum_reward=-255166.79 coverage=0.223 valid_action_frac=0.070 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': -32.1, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-19.1)}
2026-08-17 01:48:51,291 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=220 reward=-1588.40 cum_reward=-291882.13 coverage=0.223 valid_action_frac=0.063 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-12.9)}
2026-08-17 01:48:51,352 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=240 reward=-1599.45 cum_reward=-327375.23 coverage=0.223 valid_action_frac=0.058 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-23.9)}
2026-08-17 01:48:51,414 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=260 reward=-1594.22 cum_reward=-360352.89 coverage=0.223 valid_action_frac=0.054 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': -4.5, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-14.2)}
2026-08-17 01:48:51,454 | INFO    | uav_swarm_ppo.experiments.run_experiment | step=280 reward=-1586.62 cum_reward=-391879.44 coverage=0.228 valid_action_frac=0.051 breakdown={'exploration': 0.0, 'coverage': 0.0, 'collision_avoidance': 0.0, 'boundary': -1575.5, 'dynamic_obstacle_avoidance': 0.0, 'uav_separation': 0.0, 'mission_completion': 0.0, 'energy_efficiency': np.float64(-11.1)}
