time/iterations,custom/collisions_uav_uav_mean,custom/valid_action_fraction_mean,rollout/ep_len_mean,time/total_timesteps,custom/collisions_uav_static_obstacle_mean,custom/reward_exploration_mean,time/fps,time/time_elapsed,custom/reward_energy_efficiency_mean,custom/collisions_uav_dynamic_obstacle_mean,custom/collisions_uav_boundary_mean,custom/reward_coverage_mean,custom/coverage_fraction_mean,custom/reward_boundary_mean,custom/reward_collision_avoidance_mean,rollout/ep_rew_mean,custom/reward_dynamic_obstacle_avoidance_mean,custom/reward_uav_separation_mean,custom/reward_mission_completion_mean,custom/reward_total_mean,train/clip_fraction,train/n_updates,train/approx_kl,train/learning_rate,train/clip_range,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,eval/mean_reward,eval/mean_ep_length
,,,,20000,,,,,,,,,,,,,,,,,0.55625,90,0.0817098,0.0003,0.2,0.7296255826950073,0.013311180798336864,-0.114703308371827,-4.671537929773331,-0.19823220372200012,-305087.88691520004,500.0
10,8.14,0.16213171768382467,500.0,20480,4.25,0.5984271652017984,150,135,-15.494099428754588,2.25,167.47,14.795134215777095,0.2752238805970149,-592.9454000000002,0.0,-299226.73869614996,-0.1663227074282757,-11.493372308328565,0.0,-604.7056330635326,,,,,,,,,,,,
11,8.36,0.11020658027858693,500.0,22528,1.5,0.9803336940836942,157,143,-17.190203881793444,0.0,258.62,26.678742707361852,0.2105136269870161,-589.1903000000001,-4.5,-297055.70370440907,-0.7072189619269165,-49.045014841896126,0.0,-632.9736612841708,0.575048828125,100,0.09183335,0.0003,0.2,0.659171998500824,0.01304056273002061,-0.11321693896898069,-4.612572860717774,-0.19190971553325653,,
12,2.1,0.11461053573375703,500.0,24576,5.92,0.4815617715617715,163,150,-17.62849565546101,1.0,247.54,-8.719199999999999,0.23963899713256379,-605.2039000000001,-11.5,-297727.22871958336,-2.326871494210317,-10.29291598804976,0.0,-655.1898213661592,0.5662109375,110,0.09375776,0.0003,0.2,0.6908353567123413,0.011766904011165025,-0.11649627154110931,-4.606726962327957,-0.1970001459121704,,
13,1.8,0.09401071096484394,500.0,26624,1.75,0.09624125874125873,169,157,-17.703247288687603,1.18,337.76,9.196822527763088,0.21652067632136351,-667.5032000000001,-1.5,-297813.83648413466,-6.207738612191039,-36.79822393215349,0.0,-720.419346046528,0.58310546875,120,0.095306456,0.0003,0.2,0.6566213369369507,0.012800454042371711,-0.11678157775022555,-4.5932293951511385,-0.19572217762470245,,
14,10.58,0.12279539104307666,500.0,28672,8.25,0.40203250500565074,174,164,-18.594384915695038,0.0,272.06,-5.732159999999998,0.2979858279945641,-587.4420000000001,-13.0,-300080.2381884285,-0.8322538584793264,-158.73497316940703,0.0,-783.9337394385759,0.581298828125,130,0.09793516,0.0003,0.2,0.6894510984420776,0.013170864696439822,-0.11599339853855781,-4.581132477521896,-0.19153383374214172,,
,,,,30000,,,,,,,,,,,,,,,,,0.59287109375,140,0.10122738,0.0003,0.2,0.7698239088058472,0.013403650300460868,-0.11660369056044147,-4.550836730003357,-0.19319859147071838,-273621.7015046,500.0
15,4.72,0.055658251369749084,500.0,30720,11.38,0.071875,167,183,-18.723767204526734,0.75,393.64,4.1930689655172415,0.1537715106247041,-661.7481000000002,-24.0,-297969.67686425,0.0,-72.35969023286903,0.0,-772.5666134718786,,,,,,,,,,,,
16,12.66,0.06998542467460137,500.0,32768,2.75,0.21387254901960784,171,190,-18.500861788276534,0.25,419.81,5.491594503171249,0.2011945096266418,-636.9794,0.0,-299867.34615503123,-1.3492511484240006,-21.66137113493751,0.0,-672.7854170194472,0.60830078125,150,0.10455608,0.0003,0.2,0.6816198229789734,0.012055504352974821,-0.1184291295328876,-4.516396570205688,-0.2013091892004013,,
17,21.96,0.07311063728852017,500.0,34816,3.8,0.13944534632034633,174,199,-17.85726008343184,0.63,440.65,6.705622527763088,0.22428710408354266,-643.7345000000001,-18.0,-299997.25481836766,-6.80292054971786,-66.8766385989751,0.0,-746.4262513580413,0.58525390625,160,0.10123989,0.0003,0.2,0.7185336351394653,0.014209488093547407,-0.11575642584357411,-4.5065633177757265,-0.1950598508119583,,
