2026-08-28 00:18:35,743 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 30/200: reward=-205678.45 coverage=0.542 epsilon=0.053 mean_loss=415200.4277
2026-08-28 00:18:37,923 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 31/200: reward=-795449.68 coverage=0.330 epsilon=0.050 mean_loss=1915567.6366
2026-08-28 00:18:40,148 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 32/200: reward=-546548.91 coverage=0.244 epsilon=0.050 mean_loss=991744.9065
2026-08-28 00:18:42,451 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 33/200: reward=-822534.58 coverage=0.338 epsilon=0.050 mean_loss=1797437.3488
2026-08-28 00:18:44,708 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 34/200: reward=-326229.47 coverage=0.265 epsilon=0.050 mean_loss=821386.3674
2026-08-28 00:18:47,131 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 35/200: reward=-384211.74 coverage=0.520 epsilon=0.050 mean_loss=794013.4179
2026-08-28 00:18:49,289 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 36/200: reward=-406345.77 coverage=0.480 epsilon=0.050 mean_loss=808351.6358
2026-08-28 00:18:51,712 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 37/200: reward=-230532.23 coverage=0.520 epsilon=0.050 mean_loss=401567.6486
2026-08-28 00:18:53,937 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 38/200: reward=-426560.96 coverage=0.557 epsilon=0.050 mean_loss=1025917.9677
2026-08-28 00:18:56,274 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 39/200: reward=-162487.76 coverage=0.609 epsilon=0.050 mean_loss=414596.4566
2026-08-28 00:18:58,893 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 40/200: reward=-396054.80 coverage=0.500 epsilon=0.050 mean_loss=835883.7539
2026-08-28 00:19:02,021 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 41/200: reward=-319234.54 coverage=0.502 epsilon=0.050 mean_loss=551842.9962
2026-08-28 00:19:04,388 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 42/200: reward=-651296.50 coverage=0.527 epsilon=0.050 mean_loss=1301757.1474
2026-08-28 00:19:07,026 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 43/200: reward=-465743.28 coverage=0.471 epsilon=0.050 mean_loss=1014709.6258
2026-08-28 00:19:09,378 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 44/200: reward=-239205.51 coverage=0.607 epsilon=0.050 mean_loss=531724.8648
2026-08-28 00:19:11,650 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 45/200: reward=-566708.10 coverage=0.559 epsilon=0.050 mean_loss=867860.1325
2026-08-28 00:19:13,936 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 46/200: reward=-325689.31 coverage=0.119 epsilon=0.050 mean_loss=660426.8666
2026-08-28 00:19:16,148 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 47/200: reward=-245919.62 coverage=0.690 epsilon=0.050 mean_loss=491681.3529
2026-08-28 00:19:18,611 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 48/200: reward=-241676.78 coverage=0.578 epsilon=0.050 mean_loss=556014.4231
2026-08-28 00:19:20,991 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 49/200: reward=-327620.38 coverage=0.458 epsilon=0.050 mean_loss=522982.1454
2026-08-28 00:19:23,343 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 50/200: reward=-186013.72 coverage=0.695 epsilon=0.050 mean_loss=502269.6791
2026-08-28 00:19:25,470 | INFO    | uav_swarm_ppo.baselines.qlearning | Episode 51/200: reward=-168384.12 coverage=0.767 epsilon=0.050 mean_loss=254958.3844
