custom/reward_coverage_mean,custom/reward_uav_separation_mean,custom/coverage_fraction_mean,custom/reward_dynamic_obstacle_avoidance_mean,rollout/ep_rew_mean,custom/reward_energy_efficiency_mean,custom/collisions_uav_uav_mean,time/total_timesteps,custom/collisions_uav_dynamic_obstacle_mean,custom/valid_action_fraction_mean,custom/reward_collision_avoidance_mean,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,custom/reward_total_mean,custom/reward_exploration_mean,custom/reward_mission_completion_mean,custom/reward_boundary_mean,custom/collisions_uav_static_obstacle_mean,custom/collisions_uav_boundary_mean,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/n_updates,train/loss,eval/mean_ep_length,eval/mean_reward,train/value_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/clip_fraction
-4.9824,-48.24067992366204,0.21303083695069017,0.0,-299323.98197357997,-18.044590475149104,52.52,73728,1.25,0.03175539494478807,-54.0,74,9,992,500.0,-742.5922066938884,0.13786370492252845,0.0,-617.4624,28.11,1055.65,,,,,,,,,,,,
,,,,,,,80000,,,,,,,,,,,,,,-0.1116543226489739,0.0003,0.122549646,90,-0.18662405014038086,500.0,-314918.9981912001,0.005531106665557672,0.2,0.7859338521957397,-4.409969110786915,0.62528076171875
-9.341999999999999,-63.011480776202404,0.24917079207920792,-0.9962115839112144,-299564.74694276,-18.995776402223495,27.98,81920,1.5,0.03348373458357872,0.0,73,10,1114,500.0,-704.1228967926401,0.18157196969696968,0.0,-611.9590000000002,10.75,1165.25,,,,,,,,,,,,
,,,,,,,90000,,,,,,,,,,,,,,-0.11051394395908573,0.0003,0.1212612,100,-0.19534504413604736,500.0,-334465.1471022,0.004870670209129457,0.2,0.8245463371276855,-4.371745289862156,0.62244873046875
576.2291946787085,-0.16156315121271358,0.08928624205704151,-1.5430580222064554,-299125.12347071,-16.02055211415442,0.0,90112,0.0,0.3348126141918353,-65.5,73,11,1230,500.0,314.2182020687144,7.6018806775794765,0.0,-186.38769999999997,1.3,8.01,,,,,,,,,,,,
143.77247892109662,-53.55352670371696,0.21603009950248755,-8.637799841205792,-303963.28152916004,-17.909299979400053,3.5,98304,0.26,0.21143277689134,-53.5,74,12,1317,500.0,-457.14109222871366,2.5372553745124917,0.0,-469.8501999999999,4.19,80.26,-0.11231943916645833,0.0003,0.12459204,110,-0.18915559351444244,,,0.0043070076208096,0.2,0.8249879479408264,-4.342587830126286,0.6274169921875
,,,,,,,100000,,,,,,,,,,,,,,-0.10654109226015862,0.0003,0.1234744,120,-0.18447817862033844,500.0,-292867.81629339996,0.004845236442542955,0.2,0.8004151582717896,-4.3096878543496135,0.61982421875
-7.4736,-0.8240919148645276,0.18481343283582088,-0.5788106713794205,-300378.0386832,-15.203548773255475,2.5,106496,0.0,0.10161310324013907,-18.5,74,13,1438,500.0,-651.9660040630049,0.3213472964943553,0.0,-609.7073000000001,1.44,239.75,,,,,,,,,,,,
,,,,,,,110000,,,,,,,,,,,,,,-0.11605075375991873,0.0003,0.13824336,130,-0.1897887885570526,500.0,-290758.98334100004,0.003962972609360804,0.2,0.8667670488357544,-4.247083273530007,0.641552734375
-0.4476631578947361,-58.087988843265286,0.25372664647061716,-7.4774672420945,-297752.36079929996,-18.773896395275994,7.94,114688,0.74,0.10004931681285284,0.0,73,14,1556,500.0,-720.4188853910001,0.3475302475302475,0.0,-635.9794,5.0,316.64,,,,,,,,,,,,
