2026-08-27 02:56:33,270 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 9: reward=-164868.19 coverage=0.455 collisions={'uav_uav': 0, 'uav_static_obstacle': 15, 'uav_dynamic_obstacle': 6, 'uav_boundary': 784}
2026-08-27 02:56:33,272 | INFO    | uav_swarm_ppo.ppo.evaluate | Evaluation over 10 episodes: reward mean=-173588.29 std=109721.25 | coverage mean=0.558 std=0.183
2026-08-27 11:48:58,235 | INFO    | uav_swarm_ppo.ppo.evaluate | Loaded VecNormalize statistics from results\models\vecnormalize_10000_steps.pkl (forced training=False, norm_reward=False).
2026-08-27 11:49:05,071 | INFO    | uav_swarm_ppo.ppo.evaluate | Loaded model from results\models\ppo_swarm_10000_steps.zip
2026-08-27 11:49:10,889 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 0: reward=-536688.24 coverage=0.228 collisions={'uav_uav': 522, 'uav_static_obstacle': 8, 'uav_dynamic_obstacle': 2, 'uav_boundary': 1413}
2026-08-27 11:49:16,691 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 1: reward=-284341.90 coverage=0.249 collisions={'uav_uav': 26, 'uav_static_obstacle': 3, 'uav_dynamic_obstacle': 2, 'uav_boundary': 1287}
2026-08-27 11:49:22,467 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 2: reward=-316400.64 coverage=0.358 collisions={'uav_uav': 122, 'uav_static_obstacle': 28, 'uav_dynamic_obstacle': 2, 'uav_boundary': 1235}
2026-08-27 11:49:28,257 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 3: reward=-313232.14 coverage=0.330 collisions={'uav_uav': 94, 'uav_static_obstacle': 2, 'uav_dynamic_obstacle': 0, 'uav_boundary': 1367}
2026-08-27 11:49:33,987 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 4: reward=-225877.80 coverage=0.297 collisions={'uav_uav': 0, 'uav_static_obstacle': 11, 'uav_dynamic_obstacle': 0, 'uav_boundary': 1108}
2026-08-27 11:49:39,840 | INFO    | uav_swarm_ppo.ppo.evaluate | Episode 5: reward=-317627.68 coverage=0.375 collisions={'uav_uav': 146, 'uav_static_obstacle': 3, 'uav_dynamic_obstacle': 1, 'uav_boundary': 1239}
