Method,Coverage Mean,Coverage Std,Reward Mean,Reward Std,Valid Action Mean,Valid Action Std,Steps Mean,Steps Std,UAV-UAV Collisions Mean,Static Collisions Mean,Dynamic Collisions Mean,Boundary Collisions Mean
PPO,0.7086936156198388,0.0802572039291086,-136143.41456300046,27922.206001803665,0.09306666666666662,0.010433564072705894,500.0,0.0,6.8,32.2,1.6,701.2
Q-Learning,0.09713248451527012,0.03204189086471179,-458628.93102316716,185231.64167891003,0.011055555555555515,0.004343422598057893,500.0,0.0,103.83333333333333,32.583333333333336,0.9166666666666666,1479.4166666666667
A*,0.9962700054438061,0.0064645457916359715,-46365.15180075036,129134.56196405044,0.2215456259523923,0.08946455895010853,350.8125,138.6688879448846,29.25,10.3125,1.03125,456.65625
