#{"t_start": 1788280879.0457509, "env_id": "None"}
r,l,t
-310483.835151,500,21.130952
-277606.216077,500,43.447169
-311628.878257,500,64.721237
-290539.798844,500,86.120546
-224153.451694,500,121.546225
-296639.74673,500,167.303028
-287982.705457,500,175.486902
-263756.69115,500,196.286448
-273512.424857,500,229.731411
-284613.568398,500,249.72308
-278178.713079,500,299.646017
-304591.871534,500,317.313266
-324335.739844,500,346.88717
-278003.788451,500,364.575166
-289475.054167,500,382.665962
-321682.036129,500,422.280066
-306815.138481,500,452.932238
-224770.632735,500,471.333972
-296405.771398,500,490.080193
-320562.491002,500,509.019809
-299111.845759,500,567.461806
-267689.34438,500,582.051874
-240484.743194,500,587.646887
-274965.377945,500,592.887691
-348995.775112,500,602.457023
-284757.992253,500,615.851764
-253181.897919,500,621.091918
-285785.266213,500,626.201413
-286827.757886,500,636.365965
-289402.533519,500,641.73014
-321245.557803,500,655.395432
-307557.773723,500,660.55497
-284356.44851,500,670.598791
-282215.252045,500,675.372759
-282399.072267,500,680.354548
-290036.158871,500,694.019734
-336672.240439,500,703.854211
-291681.271408,500,708.917513
-257726.126651,500,713.886536
-293644.703581,500,718.827619
-264308.207328,500,737.201565
-254268.622682,500,742.170872
-286400.774278,500,747.097483
-300698.280027,500,752.149332
-343760.073333,500,757.119503
-286141.199403,500,775.167449
-329937.443417,500,780.099632
-297876.03348,500,784.926867
-420842.846976,500,789.914635
-226423.345235,500,799.659176
-279687.146967,500,813.559416
-308206.126831,500,818.730773
-277737.17249,500,832.360762
-311466.60062,500,865.198671
-236594.633438,500,884.959538
-238771.253392,500,935.757614
-296979.528242,500,953.687198
-275751.052604,500,984.812767
-291466.071151,500,1002.365495
-279870.866264,500,1020.133577
-332879.429659,500,1066.464146
-279236.380167,500,1097.732671
-297349.90946,500,1115.130863
-270108.669362,500,1132.886513
-301299.216106,500,1150.410344
-264472.199504,500,1209.618678
-309738.30837,500,1227.390307
-225325.430199,500,1245.371838
-324160.752562,500,1263.383813
-270770.825218,500,1295.151215
-345763.481309,500,1341.696131
-246651.241403,500,1359.820444
-335810.909483,500,1377.516565
-314858.977104,500,1409.519706
-285992.21548,500,1427.629624
-291777.508405,500,1474.806401
-269907.092638,500,1492.6358
-282326.328762,500,1523.407173
-269025.647006,500,1541.158785
-238643.105223,500,1558.803468
-349256.108372,500,1606.639328
-329289.27054,500,1638.474196
-314543.026486,500,1656.241111
-301643.61629,500,1674.021976
-283745.775319,500,1692.223799
-299310.449252,500,1740.562907
-304267.657263,500,1772.650817
-259854.956769,500,1790.84233
-272123.896228,500,1808.866108
-316711.648465,500,1827.965921
-286433.646251,500,1888.017632
-267619.686354,500,1906.92242
-274177.203167,500,1925.401767
-314315.406279,500,1943.680791
-302593.634586,500,1974.865822
-343617.855101,500,2022.061656
-307644.449789,500,2040.244565
-273179.293492,500,2057.834472
-296216.834161,500,2088.968781
-298796.499315,500,2106.582362
-266539.027542,500,2152.565788
-389075.736484,500,2170.458436
-305085.120575,500,2201.53412
-287792.681159,500,2219.300897
-263365.77977,500,2237.361764
-279888.255528,500,2284.513442
-225960.604305,500,2316.091524
-239520.031545,500,2334.25394
-274352.4696,500,2352.114194
-260058.448647,500,2370.318767
-322441.558425,500,2431.406143
-336270.331262,500,2449.21055
-290572.609708,500,2466.993428
-252719.7334,500,2484.995339
-183884.90537,500,2502.963457
-233913.431381,500,2516.808995
-184947.662874,500,2522.000693
-260071.124399,500,2527.214746
-218440.388721,500,2537.555691
-273641.669856,500,2542.727919
-303728.739801,500,2556.862563
-346851.317041,500,2562.172402
-237659.444842,500,2572.295122
-418188.04446,500,2577.360121
-253885.257206,500,2582.451028
-342406.042466,500,2596.338883
-269463.552235,500,2606.325537
-308466.870679,500,2611.438605
-276686.648564,500,2616.685024
-246246.15793,500,2621.921519
-294891.113303,500,2635.955561
-266072.876672,500,2645.917092
-241436.80816,500,2651.142486
-318817.047042,500,2656.340861
-292367.658991,500,2661.635927
-254250.948901,500,2680.322436
-267636.639535,500,2685.746815
-222595.297562,500,2691.047264
-218620.875006,500,2696.086468
-181718.293128,500,2706.053952
-306923.465124,500,2720.02728
-290971.631973,500,2725.297847
-222762.452617,500,2730.510196
-297258.87787,500,2752.574483
-261602.364473,500,2770.781335
-306794.274195,500,2818.904426
-242806.541722,500,2837.275821
-331425.133118,500,2868.675761
-242581.524653,500,2886.908133
-284003.293105,500,2904.841152
-262544.86863,500,2951.945973
-292739.579744,500,2982.981698
-290843.140056,500,3001.053809
-217614.346476,500,3019.528934
-283537.044365,500,3038.146471
-263350.495574,500,3099.19979
-262910.873928,500,3117.200225
-254798.489709,500,3135.281585
-272429.068316,500,3153.77022
-247449.926769,500,3185.653516
-270734.410472,500,3233.668924
-401249.344348,500,3252.225817
-305786.79327,500,3270.611098
-283981.983244,500,3301.967789
-253618.807651,500,3319.95934
-311517.692003,500,3366.89811
-273381.752364,500,3385.352875
-174223.802433,500,3417.186481
-238153.792621,500,3435.335109
-305194.62567,500,3453.277305
-272985.524435,500,3500.640373
-190577.767971,500,3519.329381
-241090.051895,500,3550.866474
-261977.948602,500,3569.031132
-276612.384778,500,3587.407908
-316307.187672,500,3635.623059
-286098.660508,500,3667.561199
-318640.609042,500,3685.428751
-255936.329252,500,3703.344004
-303415.317661,500,3721.948304
-300665.11366,500,3782.686325
-211515.98379,500,3800.686986
-249227.232207,500,3818.526974
-316536.315341,500,3836.343817
-288617.923277,500,3868.148726
-196120.838215,500,3914.530649
-316966.322818,500,3932.41766
-227412.490836,500,3950.589535
-321095.084879,500,3981.485591
-221222.21459,500,3999.628646
-235127.298933,500,4046.540084
-230604.317322,500,4064.748207
-256378.99763,500,4096.015944
-293436.996996,500,4113.986253
-261854.292841,500,4131.851974
-260139.957392,500,4178.951854
-162939.514327,500,4210.599922
-219407.949744,500,4229.027227
-268173.524052,500,4246.85655
-255045.674322,500,4265.034127
-210003.943013,500,4326.087173
-273429.388698,500,4344.249516
-324183.015204,500,4362.50415
-169920.022753,500,4381.021896
-272701.081307,500,4412.332329
-254559.149213,500,4460.266841
-278120.223037,500,4478.714952
-193440.163004,500,4496.998152
-196486.311997,500,4528.76146
-235681.028049,500,4546.740641
-185221.275813,500,4593.73175
-225848.659982,500,4612.476927
-256061.469387,500,4644.193903
-285812.722398,500,4661.641433
-191380.915241,500,4679.591825
-207910.7748,500,4726.816948
-233325.927248,500,4744.9595
-286509.191092,500,4776.397938
-290004.975292,500,4794.434993
-207222.956835,500,4812.391922
-195503.193609,500,4835.974324
-276283.678568,500,4846.613023
-310970.945353,500,4851.713242
-231842.127547,500,4856.873421
-350245.830354,500,4862.023307
-255687.26747,500,4880.553012
-286020.850712,500,4885.797886
-316948.406462,500,4890.911045
-234302.510812,500,4895.932999
-221405.833952,500,4906.047642
-277649.973913,500,4920.089879
-228891.485287,500,4925.238011
-180042.050951,500,4930.356861
-175962.946076,500,4940.266388
-274773.08219,500,4945.440094
-208520.061054,500,4959.283689
-256720.931651,500,4964.446739
-280224.791317,500,4974.559691
-235522.480599,500,4979.686455
-254583.323487,500,4984.729283
-234337.146558,500,4998.701853
-266351.614573,500,5009.005094
-222505.922786,500,5014.200628
-292936.45473,500,5019.752742
-298295.222922,500,5024.862531
-235258.071917,500,5046.197612
-208478.21337,500,5053.535317
-234869.847009,500,5058.648064
-243483.420056,500,5063.315877
-307774.38801,500,5072.368701
-313422.814763,500,5085.034766
-249231.418517,500,5089.905912
-243427.039749,500,5094.674
-250747.183122,500,5104.279449
-262445.127322,500,5109.269669
-257494.380276,500,5123.051712
-253702.668273,500,5129.341704
-275535.727123,500,5134.868724
-251773.562636,500,5145.680443
-182623.701768,500,5150.697519
-268193.439822,500,5164.921025
-313321.985648,500,5170.237927
-312551.076447,500,5180.423978
-211237.265461,500,5185.484503
-200314.828858,500,5190.560149
-221029.123348,500,5205.147161
-203951.512419,500,5215.274554
-196578.469209,500,5220.406021
-208834.124125,500,5225.554223
-216987.782854,500,5230.614015
-236038.649531,500,5250.039663
-253912.195694,500,5255.157243
-272343.906679,500,5260.375786
-266683.610472,500,5265.817387
-213691.914618,500,5276.102623
-181993.125783,500,5290.436765
-154608.763441,500,5295.792978
-244705.675194,500,5300.929752
-193749.034984,500,5311.469428
-220473.887638,500,5316.632911
-308312.999225,500,5331.106502
-248268.007355,500,5336.178577
-152233.10332,500,5347.038013
-197687.392711,500,5352.190258
-274775.475756,500,5357.326708
-262641.901766,500,5371.973678
-296135.736902,500,5382.694051
-184151.546366,500,5387.916231
-285701.236005,500,5393.012086
