#{"t_start": 1788280879.1170115, "env_id": "None"}
r,l,t
-214774.490694,500,4727.871549
-290164.328382,500,4746.024672
-224052.17347,500,4777.447249
-230926.867058,500,4795.488989
-254805.5138,500,4813.435438
-219436.405073,500,4836.274885
-314302.508468,500,4846.889068
-173590.829367,500,4851.980412
-277504.822061,500,4857.119757
-211918.420069,500,4862.307126
-265565.909242,500,4880.816899
-262268.637384,500,4886.05127
-233752.776488,500,4891.20048
-276340.573805,500,4896.216859
-242116.460055,500,4906.357992
-189121.527057,500,4920.37257
-316906.37063,500,4925.520525
-271532.09305,500,4930.680511
-249546.220253,500,4940.530997
-327178.905404,500,4945.684473
-257423.171439,500,4959.549988
-246549.383135,500,4964.768834
-228218.791063,500,4974.826449
-249679.922311,500,4979.934033
-222115.492519,500,4984.976995
-204168.158635,500,4998.94238
-223817.86921,500,5009.266281
-282437.226462,500,5014.481074
-266181.534079,500,5020.07954
-225983.274463,500,5025.16137
-247925.617426,500,5046.592674
-265286.310827,500,5053.747805
-289648.927007,500,5058.840539
-109500.214948,500,5063.556932
-217640.369983,500,5072.558701
-220212.600419,500,5085.232686
-213022.611007,500,5090.114602
-164109.413941,500,5094.86238
-247505.204616,500,5104.477647
-177921.26449,500,5109.466501
-258588.375495,500,5123.27226
-172700.339157,500,5129.591655
-241334.131879,500,5135.078007
-231585.025518,500,5145.883555
-247067.444405,500,5150.906255
-254962.351131,500,5165.133308
-211105.643075,500,5170.449591
-236114.602735,500,5180.613626
-183853.935949,500,5185.687773
-214126.668517,500,5190.76741
-209570.487565,500,5205.3584
-248771.302168,500,5215.480786
-181846.315965,500,5220.611285
-210357.111929,500,5225.756898
-214071.094151,500,5230.82523
-197090.776612,500,5250.245252
-254879.925915,500,5255.361326
-144804.035916,500,5260.584642
-131786.485191,500,5266.022312
-284771.534977,500,5276.310604
-260258.422806,500,5290.645928
-220293.737736,500,5296.008872
-206820.180138,500,5301.138204
-327188.783624,500,5311.676637
-199607.671234,500,5316.840523
-192225.468941,500,5331.315622
-280534.312293,500,5336.385441
-245298.227461,500,5347.245383
-247351.613329,500,5352.394039
-308084.300005,500,5357.538487
-181125.038383,500,5372.187459
-230314.519658,500,5382.930156
-232301.186161,500,5388.127501
-266970.748254,500,5393.217072
-334067.608356,500,5398.474582
-286017.626638,500,5418.132407
-201707.230427,500,5423.273652
-213503.172416,500,5428.475322
-208436.163127,500,5433.727678
-255421.532652,500,5444.223649
-328407.938882,500,5458.455257
-147256.133568,500,5463.654692
-226712.850533,500,5468.820053
-218359.852897,500,5474.028476
-158845.796421,500,5484.544524
-292797.393809,500,5499.126637
-274464.242001,500,5504.597075
-312287.943935,500,5509.886836
-260528.317075,500,5520.477477
-186560.315019,500,5525.688639
-174042.465063,500,5540.36781
-291196.126811,500,5545.98652
-237400.104422,500,5556.54626
-178035.291502,500,5562.099886
-228781.337541,500,5567.486642
-223324.865363,500,5582.366025
-189139.411426,500,5595.615691
-186037.88135,500,5601.525496
-192858.51409,500,5606.885004
-188863.167387,500,5612.151016
-203060.688552,500,5632.195824
-291185.660725,500,5637.332511
-172631.048752,500,5642.588558
