#{"t_start": 1788280878.9910696, "env_id": "None"}
r,l,t
-317752.284756,500,20.343619
-291994.809567,500,42.093445
-299307.251118,500,63.415355
-301592.882853,500,84.683238
-351462.704624,500,120.139905
-312588.537282,500,166.718172
-316416.374904,500,174.905778
-280021.948122,500,195.010323
-300035.059457,500,228.590825
-283039.167862,500,248.585321
-310009.295508,500,298.474396
-269031.854482,500,316.090426
-304838.268602,500,345.881211
-286670.220744,500,363.472271
-316230.6522,500,381.560823
-296667.695621,500,421.155163
-313967.117776,500,451.850824
-299477.051008,500,470.142955
-296581.291407,500,488.976723
-296049.049073,500,507.863754
-278575.065455,500,566.019056
-294051.506286,500,581.774291
-263416.564321,500,587.365151
-274198.555739,500,592.590863
-293700.607655,500,602.174922
-296869.149888,500,615.510205
-304580.407066,500,620.753228
-310145.528063,500,625.930371
-319828.549045,500,636.070057
-288088.579812,500,641.433193
-299904.318192,500,655.112151
-295526.213546,500,660.27434
-321738.231753,500,670.315085
-265539.546479,500,675.082149
-286902.339195,500,680.046673
-275250.247515,500,693.702648
-372155.249631,500,703.553831
-277354.141446,500,708.644564
-298736.412117,500,713.616087
-235118.058791,500,718.538597
-307115.485371,500,736.917529
-287045.305691,500,741.888637
-288626.618981,500,746.817424
-304734.723917,500,751.789638
-295073.672306,500,756.809741
-278916.05056,500,774.87655
-324125.422554,500,779.824119
-293339.875409,500,784.663198
-273026.67443,500,789.624658
-288942.309773,500,799.3899
-249519.269388,500,813.244509
-290299.698738,500,818.406855
-401297.211528,500,831.023729
-264946.065765,500,863.822823
-251417.773903,500,883.517702
-304695.601598,500,934.360942
-291796.204956,500,952.633976
-262461.457576,500,983.645604
-323218.794936,500,1001.27851
-333510.091523,500,1019.071919
-293444.443072,500,1065.364799
-273947.850646,500,1096.652408
-329944.225602,500,1114.030357
-280901.087463,500,1131.778058
-311056.949651,500,1149.304313
-292243.753245,500,1208.511352
-308375.06833,500,1226.298152
-286848.998197,500,1244.279492
-284409.592366,500,1262.288
-334783.91157,500,1294.0433
-303457.754221,500,1340.606805
-242219.943266,500,1358.685588
-300585.766854,500,1376.429674
-278991.168747,500,1408.106112
-242361.762893,500,1426.502192
-291530.731884,500,1473.715395
-303233.884152,500,1491.542536
-266133.947873,500,1522.296274
-248876.198516,500,1540.0524
-261459.453581,500,1557.710384
-258529.358697,500,1605.404019
-314166.265839,500,1637.39482
-285191.310183,500,1655.148004
-270610.914323,500,1672.930832
-317580.918633,500,1690.912109
-262339.458909,500,1739.449658
-342345.254798,500,1771.555771
-267306.407883,500,1789.706109
-271653.47606,500,1807.796135
-274550.407775,500,1826.488897
-359670.020855,500,1886.923439
-272212.513839,500,1905.709
-267696.745791,500,1924.311394
-285319.504133,500,1942.408168
-280706.795281,500,1973.76533
-313987.025768,500,2020.954347
-291661.864035,500,2039.129785
-305861.491571,500,2056.725427
-322009.496732,500,2087.861466
-276415.098473,500,2105.4709
-327644.583716,500,2151.477155
-313973.34659,500,2169.378549
-351368.557678,500,2200.421524
-366790.902223,500,2218.227423
-241805.131291,500,2236.291009
-250151.199495,500,2283.422074
-239980.819362,500,2314.969677
-220389.781203,500,2333.148617
-246401.428649,500,2351.02072
-253894.056946,500,2369.227443
-296176.070916,500,2430.319524
-283445.941194,500,2448.020561
-187168.995614,500,2465.947293
-335872.420682,500,2483.854611
-230716.141703,500,2502.644663
-203792.202366,500,2516.490531
-307502.965479,500,2521.674669
-268328.668978,500,2526.907723
-228156.597325,500,2537.253575
-240317.793179,500,2542.385767
-256302.368666,500,2556.558637
-219411.030377,500,2561.866897
-298821.786215,500,2571.946311
-214290.179716,500,2577.079531
-261954.939754,500,2582.175575
-245068.082352,500,2595.992493
-257942.329179,500,2605.986201
-303389.955228,500,2611.120024
-328553.048559,500,2616.393746
-286650.522143,500,2621.659527
-300098.494032,500,2635.659943
-300113.43158,500,2645.653206
-331043.195905,500,2650.84437
-233318.674757,500,2655.972827
-279012.161012,500,2661.321018
-186009.969698,500,2680.027972
-213356.652528,500,2685.451647
-207377.461707,500,2690.725938
-264593.652198,500,2695.781495
-273529.026517,500,2705.78111
-268010.538752,500,2719.733219
-213731.949365,500,2724.987526
-284830.131245,500,2730.255256
-198477.929149,500,2751.446558
-158573.807457,500,2769.667275
-264525.584292,500,2817.797763
-278508.893706,500,2836.166395
-204068.720566,500,2867.590603
-203310.069694,500,2885.797661
-256754.118932,500,2903.699449
-209898.215382,500,2950.84181
-200701.966412,500,2981.890197
-298511.805907,500,2999.948705
-432262.462323,500,3018.445695
-260522.283165,500,3036.722465
-273215.5576,500,3098.096226
-409403.500322,500,3116.049299
-274488.98063,500,3134.196377
-239180.92291,500,3152.655371
-262125.508318,500,3184.551208
-258618.063482,500,3232.535068
-372951.041756,500,3251.121215
-271242.666415,500,3269.506222
-256051.70808,500,3300.874286
-304812.702537,500,3318.863691
-242289.051251,500,3365.819578
-228277.856586,500,3384.195126
-259024.276665,500,3416.10811
-193158.648366,500,3434.22361
-218833.778506,500,3452.15369
-264470.204809,500,3499.560244
-261139.342066,500,3518.12399
-153154.615471,500,3549.755883
-207948.456872,500,3567.869464
-192577.04467,500,3586.297107
-216598.668051,500,3634.536347
-289974.555494,500,3666.466186
-287158.869445,500,3684.345857
-254923.480592,500,3702.205824
-226551.4551,500,3720.849776
-301126.527987,500,3781.600931
-305703.107645,500,3799.588804
-283339.82829,500,3817.431758
-236551.866427,500,3835.255105
-260710.31508,500,3867.045787
-339136.923817,500,3913.424531
-219389.443007,500,3931.333889
-283467.985569,500,3949.501685
-274138.806039,500,3980.392311
-288785.156478,500,3998.551216
-223886.021595,500,4045.4406
-308434.742426,500,4063.649114
-202430.526479,500,4094.904165
-266867.526037,500,4112.898872
-323423.175735,500,4130.743924
-287187.621589,500,4177.85747
-279676.323709,500,4209.546904
-282620.671746,500,4227.946759
-280967.627608,500,4245.774413
-305244.948325,500,4263.925677
-176112.885256,500,4324.984578
-291920.155639,500,4343.130576
-256371.258189,500,4361.43523
-235267.384119,500,4379.941889
-253527.38935,500,4411.251804
-270089.37275,500,4459.170002
-166402.049552,500,4477.617442
-240698.720927,500,4495.905727
-241399.325721,500,4527.673925
-275074.441879,500,4545.665432
-280784.466282,500,4592.633156
-175070.814421,500,4611.396986
-269716.930904,500,4643.106593
-230329.428253,500,4660.571274
-218215.314626,500,4678.503314
-272820.012323,500,4725.7285
-267339.061222,500,4743.860116
-251495.004522,500,4775.292755
-164092.249711,500,4793.347981
-268603.658063,500,4811.298122
-230863.65055,500,4835.618318
-299563.5128,500,4846.338332
-271605.006933,500,4851.433161
-211648.874969,500,4856.589395
-242762.854974,500,4861.716304
-248442.09077,500,4880.249201
-271525.740324,500,4885.517167
-215211.544716,500,4890.622432
-360346.323054,500,4895.6707
-235841.531232,500,4905.735799
-265572.527791,500,4919.812341
-220993.446515,500,4924.937261
-250727.381988,500,4930.011406
-249972.27413,500,4939.975742
-296641.054135,500,4945.169693
-223556.583547,500,4959.016204
-186383.132376,500,4964.160915
-291333.865403,500,4974.247822
-299195.795183,500,4979.367994
-200638.937706,500,4984.45943
-283527.959179,500,4998.392052
-237353.677259,500,5008.69317
-206372.766565,500,5013.909387
-209103.176346,500,5019.47212
-346036.33786,500,5024.541354
-281702.042704,500,5045.845033
-261496.529559,500,5053.22429
-171877.809905,500,5058.400795
-287223.574405,500,5063.071177
-247431.692892,500,5072.124325
-256797.085101,500,5084.780439
-168856.526461,500,5089.632001
-159025.020644,500,5094.416501
-308144.508276,500,5103.999962
-260270.974671,500,5109.001424
-186746.838183,500,5122.760736
-258005.245146,500,5128.995521
-325422.90067,500,5134.584833
-213304.341607,500,5145.393735
-217682.511795,500,5150.4233
-278631.519498,500,5164.62997
-215182.937496,500,5169.94423
-250745.301181,500,5180.151634
-279308.839058,500,5185.20582
-205552.90466,500,5190.290652
-191401.497498,500,5204.855951
-180150.045672,500,5214.995632
-268533.296684,500,5220.114539
-179738.656701,500,5225.275745
-224020.495179,500,5230.346003
-287686.780829,500,5249.754944
-172546.543453,500,5254.867329
-282091.939504,500,5260.101776
-236736.502859,500,5265.53773
-153639.946345,500,5275.82197
-207249.588229,500,5290.136877
-269807.161185,500,5295.501379
-282700.925197,500,5300.661453
-210115.804193,500,5311.174817
-258348.977848,500,5316.362671
-183357.212888,500,5330.819136
-236989.651526,500,5335.892574
-198074.691121,500,5346.735288
-203061.987911,500,5351.920628
-198080.173305,500,5357.050864
-280196.097819,500,5371.67156
-251004.466062,500,5382.399754
-170692.074825,500,5387.632884
-174011.867675,500,5392.727577
-256256.931303,500,5397.978311
-299841.672854,500,5417.606363
-315443.202749,500,5422.782782
-247522.834971,500,5427.987271
-237177.935534,500,5433.232877
-159544.885042,500,5443.70832
-103536.703699,500,5457.955898
-173761.133872,500,5463.167261
-208464.974096,500,5468.325871
-175974.309508,500,5473.533974
-174597.031038,500,5484.029321
-191021.826586,500,5498.622511
-201705.500565,500,5504.09647
-214845.916315,500,5509.356169
-218617.320368,500,5519.964266
-309856.095286,500,5525.190077
-254690.567142,500,5539.821392
-192427.748747,500,5545.414848
-214305.196902,500,5556.050393
-204323.076295,500,5561.405281
-337195.509691,500,5566.99533
-201788.678083,500,5581.850094
-216889.64148,500,5594.999005
-256992.532582,500,5601.021245
-174501.699743,500,5606.377181
-136584.775125,500,5611.662558
-157830.764475,500,5631.671412
-268636.91403,500,5636.820887
-214317.270286,500,5642.090898
-207995.627332,500,5647.19732
-254878.21904,500,5657.798886
-203043.361886,500,5672.619293
-158386.096406,500,5678.013292
-104907.092318,500,5683.49502
-201179.260889,500,5694.099458
-199731.520138,500,5699.444913
-245757.005003,500,5712.415183
-120037.075842,500,5716.717861
-213826.73014,500,5725.338643
-202094.381113,500,5729.62346
-164649.628594,500,5734.098521
-290173.507873,500,5746.251193
-156939.043318,500,5754.831746
-79209.628168,500,5759.244891
-229458.197759,500,5763.635778
-242970.398227,500,5768.021055
-248218.681413,500,5784.001799
-206852.537492,500,5788.481168
-229019.775576,500,5792.908215
-180310.451272,500,5797.469177
-135516.519506,500,5806.299979
-148758.288098,500,5818.390141
-206305.954476,500,5822.83911
-216396.75829,500,5827.223077
-134105.018872,500,5831.649006
-189810.158974,500,5840.178052
-130043.897291,500,5852.759558
-179494.751692,500,5857.201191
-175528.000171,500,5861.694492
-207082.414251,500,5872.192559
-315505.237721,500,5877.572281
-180967.46229,500,5890.553778
-162697.056488,500,5894.96843
-202798.868582,500,5903.53604
-251462.179303,500,5908.143782
-208065.434701,500,5912.730017
-184014.78923,500,5924.993619
-238799.204074,500,5933.518496
-177283.619429,500,5938.052832
-168848.307003,500,5942.892704
-197902.029416,500,5947.415461
-166509.74609,500,5963.829027
-226367.362251,500,5968.460173
-175936.09847,500,5973.031801
-241350.205789,500,5977.574473
-130496.218669,500,5986.323186
-158289.921351,500,5998.644283
-107770.485759,500,6003.272397
-238727.807398,500,6007.740839
-229139.044343,500,6016.170958
-275822.307855,500,6020.801025
-143368.292105,500,6033.129246
-197296.315758,500,6037.64009
-136121.612857,500,6047.12269
-161469.250086,500,6051.734519
-119031.064469,500,6056.31883
-147238.781929,500,6068.64103
-134536.107777,500,6077.278879
-274437.968502,500,6081.858463
-244057.491201,500,6086.323816
-148184.450108,500,6090.918472
-160827.653544,500,6107.349292
-201214.351322,500,6111.994747
-144272.206344,500,6116.657706
-130237.601744,500,6121.201222
-246902.612548,500,6126.087364
-202787.830326,500,6141.996412
-236131.982999,500,6146.738907
-216533.99032,500,6151.324616
-206753.144979,500,6155.893973
-179627.399246,500,6164.548926
-208215.87151,500,6177.058424
-175802.425169,500,6181.503281
