#{"t_start": 1788280879.1884155, "env_id": "None"}
r,l,t
-371445.872195,500,24.199246
-312575.014736,500,46.071067
-242332.981253,500,67.578683
-258368.994279,500,88.746377
-309106.036663,500,124.323234
-281980.243223,500,168.541704
-307804.002632,500,178.228542
-291239.812634,500,198.896634
-314244.644753,500,232.125315
-272317.345492,500,252.166322
-283427.551624,500,301.993474
-266244.987258,500,319.364061
-296767.016174,500,348.746349
-272448.241889,500,366.65698
-264395.539116,500,384.781937
-311683.011074,500,424.493248
-328294.495976,500,455.072361
-299552.966787,500,473.593813
-291036.290961,500,492.451211
-271855.996742,500,511.346131
-272912.358656,500,569.607121
-289567.194351,500,582.604107
-267498.743639,500,588.253479
-307616.403391,500,593.394079
-337382.733384,500,602.974628
-297177.053794,500,616.465084
-390090.013203,500,621.63995
-293254.939724,500,626.770731
-250131.435072,500,636.935915
-270857.57144,500,642.246836
-299225.47889,500,655.929246
-305491.667608,500,661.218793
-330695.806432,500,671.116211
-302700.983004,500,675.878427
-304108.858874,500,680.867523
-310042.21112,500,694.654948
-287680.647876,500,704.429402
-301688.900872,500,709.427611
-286247.233058,500,714.440289
-334121.22656,500,719.351257
-281058.854857,500,737.697657
-318273.995246,500,742.66899
-263847.245011,500,747.600943
-292542.153561,500,752.671734
-334662.391117,500,757.621107
-355044.92102,500,775.731894
-302290.031824,500,780.604749
-250714.481421,500,785.455351
-296764.143684,500,790.494844
-284211.600194,500,800.20271
-295723.797037,500,814.173586
-228189.193026,500,819.330741
-290876.455893,500,834.91043
-309370.223359,500,867.882709
-289915.153074,500,887.9789
-272769.112347,500,937.787889
-275249.499962,500,956.152034
-270684.467782,500,986.882511
-233490.040326,500,1004.489523
-291775.817174,500,1022.235747
-280099.763366,500,1068.585386
-272638.509035,500,1099.830771
-274067.771152,500,1117.268333
-344538.090481,500,1134.999662
-274738.726901,500,1152.510211
-274638.496721,500,1211.706579
-289680.024217,500,1229.458388
-240370.899565,500,1247.466579
-289431.438878,500,1265.494916
-268487.926551,500,1297.246424
-286795.608751,500,1343.84892
-316079.616554,500,1361.983223
-254347.318294,500,1379.604619
-261722.40449,500,1411.949004
-309702.000505,500,1429.766712
-306314.711726,500,1476.877871
-305107.059026,500,1494.711501
-265932.239343,500,1525.590938
-301433.4093,500,1543.394994
-215055.521818,500,1560.91191
-252666.75263,500,1608.811659
-279255.961274,500,1640.554094
-282727.665655,500,1658.398349
-232928.966845,500,1676.15848
-272996.070424,500,1694.902987
-277593.881003,500,1742.636328
-281771.130163,500,1774.761446
-267221.107272,500,1792.944783
-217467.00397,500,1810.949965
-310941.036885,500,1830.57434
-245718.83571,500,1890.162143
-252574.513513,500,1909.013595
-175226.389948,500,1927.552138
-198781.14101,500,1946.013775
-278311.751683,500,1977.069122
-271968.923375,500,2024.216072
-245655.403651,500,2042.348279
-265997.678149,500,2059.909177
-293795.666255,500,2091.093345
-246751.73918,500,2108.655529
-265458.071182,500,2154.661015
-263700.658548,500,2172.503397
-290424.483637,500,2203.602707
-304478.28033,500,2221.420744
-274148.985433,500,2239.438904
-403849.290939,500,2286.644044
-238742.558756,500,2318.206932
-243917.111904,500,2336.346997
-323704.220434,500,2354.366672
-208053.878393,500,2372.420845
-256542.124423,500,2433.488054
-272989.663124,500,2451.296512
-283939.687162,500,2469.083388
-204609.937786,500,2487.073313
-318124.730704,500,2503.515279
-349431.240758,500,2517.319781
-228570.190068,500,2522.527831
-289166.633871,500,2527.767381
-262421.036398,500,2538.080126
-291452.256521,500,2543.272724
-280155.582552,500,2557.472536
-254889.931784,500,2562.726896
-324396.103143,500,2572.829293
-214386.894742,500,2577.874353
-312996.779754,500,2583.020347
-273161.403279,500,2596.839339
-295945.854749,500,2606.844051
-278320.036027,500,2611.96666
-238460.01703,500,2617.260271
-244504.597979,500,2622.514941
-240047.715209,500,2636.459033
-270665.166798,500,2646.436078
-276702.438754,500,2651.696201
-227933.229391,500,2656.866446
-294793.533856,500,2662.240655
-282909.438305,500,2680.89877
-237832.039127,500,2686.326389
-274571.214726,500,2691.552832
-260372.682628,500,2696.611056
-238974.227857,500,2706.625092
-339771.754578,500,2720.611045
-293298.745091,500,2725.886777
-233556.819599,500,2731.096612
-196485.240561,500,2754.700451
-277144.633078,500,2772.891556
-278193.075534,500,2821.025933
-264045.338946,500,2839.386187
-278062.32359,500,2870.742961
-209059.692768,500,2888.966105
-211843.874241,500,2906.951298
-232890.835237,500,2954.064218
-306994.927873,500,2985.19069
-294454.581826,500,3003.163466
-249435.110298,500,3021.633089
-232089.102204,500,3040.604968
-223465.639452,500,3101.296375
-152343.28998,500,3119.267478
-263047.554811,500,3137.394089
-162312.11207,500,3155.88663
-254356.49504,500,3187.783118
-255522.866798,500,3235.775218
-254663.0248,500,3254.32198
-255700.878265,500,3272.71482
-291200.19017,500,3304.024872
-284329.381864,500,3322.094027
-181380.761792,500,3369.015518
-321382.739113,500,3387.517076
-273990.619917,500,3419.283508
-283442.674746,500,3437.435387
-273753.110627,500,3455.395115
-243130.955215,500,3502.74633
-200252.868387,500,3521.429101
-192607.605165,500,3552.987087
-217304.477094,500,3571.199582
-254361.42122,500,3589.544399
-271216.503343,500,3637.695991
-229624.384054,500,3669.615141
-253473.627853,500,3687.47667
-292920.142881,500,3705.476575
-196709.584419,500,3724.002836
-348671.247286,500,3784.752181
-242640.677615,500,3802.76174
-268416.009483,500,3820.612627
-302403.965329,500,3838.422925
-257050.634633,500,3870.267951
-270726.680741,500,3916.700703
-352036.503713,500,3934.510765
-290975.95895,500,3952.685293
-250243.777281,500,3983.561853
-256458.198515,500,4001.700572
-234709.325365,500,4048.605201
-238160.461842,500,4066.839406
-315057.924822,500,4098.114586
-243317.477217,500,4116.151857
-252414.135483,500,4133.939144
-271546.969155,500,4181.080072
-270724.84671,500,4212.704756
-223229.835216,500,4231.12985
-172467.617947,500,4248.920214
-188685.099164,500,4267.128616
-218030.241941,500,4328.170028
-177387.498425,500,4346.448023
-266550.00904,500,4364.604189
-199181.311862,500,4383.110184
-313831.600505,500,4414.462481
-240521.753009,500,4462.35876
-235756.893878,500,4480.805984
-207492.695006,500,4499.118057
-284747.412284,500,4530.865022
-235948.226307,500,4548.823112
-230591.757412,500,4596.022862
-188183.979922,500,4614.584349
-297749.685636,500,4646.266232
-266584.856616,500,4663.724224
-212924.920373,500,4681.642232
-318913.83691,500,4728.910672
-242008.17227,500,4747.088287
-192792.759494,500,4778.508469
-180719.294932,500,4796.563667
-265466.170314,500,4814.473312
-194812.757461,500,4836.602602
