custom/valid_action_fraction_mean,custom/reward_uav_separation_mean,time/iterations,rollout/ep_rew_mean,custom/reward_energy_efficiency_mean,custom/reward_collision_avoidance_mean,custom/coverage_fraction_mean,custom/collisions_uav_dynamic_obstacle_mean,custom/collisions_uav_boundary_mean,rollout/ep_len_mean,custom/reward_mission_completion_mean,time/total_timesteps,custom/reward_total_mean,custom/collisions_uav_uav_mean,custom/collisions_uav_static_obstacle_mean,custom/reward_dynamic_obstacle_avoidance_mean,time/time_elapsed,custom/reward_boundary_mean,custom/reward_exploration_mean,time/fps,custom/reward_coverage_mean,train/policy_gradient_loss,eval/mean_ep_length,train/value_loss,train/learning_rate,train/approx_kl,eval/mean_reward,train/clip_range,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/loss
,,,,,,,,,,,100000,,,,,,,,,,-0.10654109226015862,500.0,0.004845236442542955,0.0003,0.1234744,-292867.81629339996,0.2,0.61982421875,120,-4.3096878543496135,0.8004151582717896,-0.18447817862033844
0.10161310324013907,-0.8240919148645276,13,-300378.0386832,-15.203548773255475,-18.5,0.18481343283582088,0.0,239.75,500.0,0.0,106496,-651.9660040630049,2.5,1.44,-0.5788106713794205,833,-609.7073000000001,0.3213472964943553,127,-7.4736,,,,,,,,,,,,
,,,,,,,,,,,110000,,,,,,,,,,-0.11605075375991873,500.0,0.003962972609360804,0.0003,0.13824336,-290758.98334100004,0.2,0.641552734375,130,-4.247083273530007,0.8667670488357544,-0.1897887885570526
0.10004931681285284,-58.087988843265286,14,-297752.36079929996,-18.773896395275994,0.0,0.25372664647061716,0.74,316.64,500.0,0.0,114688,-720.4188853910001,7.94,5.0,-7.4774672420945,955,-635.9794,0.3475302475302475,119,-0.4476631578947361,,,,,,,,,,,,
,,,,,,,,,,,120000,,,,,,,,,,-0.11500364870153135,500.0,0.003707519687259264,0.0003,0.15136994,-305931.1528624,0.2,0.65113525390625,140,-4.19285834133625,0.8911636471748352,-0.1877388209104538
0.08102696873021807,-9.38490646053649,15,-294607.07787204,-17.612114844748234,0.0,0.2667493596374563,0.25,446.84,500.0,0.0,122880,-688.3502345426814,4.3,3.5,-3.355871612354955,1069,-655.2447000000002,0.04995837495837496,114,-2.8026,,,,,,,,,,,,
,,,,,,,,,,,130000,,,,,,,,,,-0.11459302269067848,500.0,0.0035457598318771487,0.0003,0.15206586,-348802.13299159997,0.2,0.65255126953125,150,-4.176830105483532,0.8996308445930481,-0.19490154087543488
0.06486648922999114,-27.118786606882455,16,-292011.03439855,-16.126746181775584,0.0,0.2625468572976701,1.0,608.01,500.0,0.0,131072,-660.4614886379422,6.68,4.0,-4.785164520398915,1183,-612.9590000000002,0.35403207903207906,110,0.17417659208261668,,,,,,,,,,,,
0.047998510809663275,-54.417130544667025,17,-290486.45818137005,-17.112267196386593,0.0,0.23293719211822658,0.25,702.52,500.0,0.0,139264,-685.7329698058492,19.56,9.0,-0.7830102344690059,1269,-602.7005,0.1789381696734638,109,-10.899000000000001,-0.11248978710063966,,0.003574064441909286,0.0003,0.14791787,,0.2,0.64532470703125,160,-4.114034335315227,0.8549906015396118,-0.18984554708003998
,,,,,,,,,,,140000,,,,,,,,,,-0.10936404939493513,500.0,0.003989723274980861,0.0003,0.1483769,-271491.54396920005,0.2,0.64515380859375,170,-4.092216102778911,0.8979069590568542,-0.19015717506408691
0.04215785022683788,-38.187961294753784,18,-288378.93140933005,-17.97951694786942,-1.5,0.236222538298606,1.0,876.55,500.0,0.0,147456,-727.903104754145,12.58,5.0,-0.887471966067252,1384,-668.7549,0.029545454545454545,106,-0.6228,,,,,,,,,,,,
,,,,,,,,,,,150000,,,,,,,,,,-0.11661022405460245,500.0,0.0036820814558723215,0.0003,0.1620216,-273894.4597638,0.2,0.6590087890625,180,-4.0462955862283705,0.9037930369377136,-0.18770836293697357
0.04084661191889177,-116.76078240087071,19,-287132.25971698,-17.202147482121138,-1.5,0.25762918960687725,1.0,983.73,500.0,0.0,155648,-749.561710139817,30.52,3.5,-2.368653088731865,1500,-601.7005000000001,0.5579728319066555,103,-10.587599999999998,,,,,,,,,,,,
,,,,,,,,,,,160000,,,,,,,,,,-0.11635367733979365,500.0,0.003057164215579178,0.0003,0.1702472,-363309.7138544,0.2,0.6628662109375,190,-3.99849332049489,0.9038653373718262,-0.18830345571041107
0.03367688183873387,-46.37967120002697,20,-284471.00448128,-16.498335043584877,0.0,0.23941710347505343,1.25,1154.5,500.0,0.0,163840,-738.4068231135802,40.94,4.5,-0.018816869968355476,1616,-675.51,0.0,101,0.0,,,,,,,,,,,,
,,,,,,,,,,,170000,,,,,,,,,,-0.11789802704151953,500.0,0.003062814183249429,0.0003,0.17329368,-307406.5532838,0.2,0.66485595703125,200,-3.9442094422876837,0.9099664688110352,-0.18836453557014465
0.1720775945654597,-0.30557280900008404,21,-285066.50393196003,-16.2830117390662,-10.0,0.16654445840106402,0.68,875.23,500.0,0.0,172032,36.2967004964978,14.28,2.09,-2.806985919285409,1738,-469.35360000000003,3.518829805008261,98,531.5270411588411,,,,,,,,,,,,
,,,,,,,,,,,180000,,,,,,,,,,-0.11493879395275144,500.0,0.003144885670326403,0.0003,0.16281706,-272674.3531206,0.2,0.65052490234375,210,-3.94389753267169,0.9312513470649719,-0.18947871029376984
0.24505742659131258,-9.291766786806203,22,-283767.79914899,-17.021602295866593,-10.0,0.1734198044188655,0.1,54.17,500.0,0.0,180224,-316.1212522149389,0.6,2.06,-7.401297830653741,1856,-447.83660000000003,2.744162128857292,97,172.6858525695303,,,,,,,,,,,,
0.1578546794255483,-9.727248047407494,23,-281334.804322,-16.71318545484893,-47.5,0.2297959760023412,0.0,143.25,500.0,0.0,188416,-666.4294488845828,0.28,7.06,-2.4954542906614274,1944,-606.2039000000001,0.43649345902635384,96,15.773845449308755,-0.11911648438544944,,0.0027769362213348357,0.0003,0.1775884,,0.2,0.66793212890625,220,-3.893432132154703,0.9089173674583435,-0.19230131804943085
,,,,,,,,,,,190000,,,,,,,,,,-0.11794012574264343,500.0,0.002614045915788665,0.0003,0.19374298,-333604.285839,0.2,0.67752685546875,230,-3.8398608386516573,0.9238623976707458,-0.18932437896728516
0.09054141595758558,0.0,24,-283238.04735619,-17.64932251815787,0.0,0.2039851485148515,0.5,298.14,500.0,0.0,196608,-662.8215742288713,4.0,2.25,-1.6799531933556966,2059,-655.9930000000002,0.20646236116824354,95,12.294239121474051,,,,,,,,,,,,
,,,,,,,,,,,200000,,,,,,,,,,-0.1073753559612669,500.0,0.003518390285989881,0.0003,0.17416337,-237772.70116340002,0.2,0.6569580078125,240,-3.8309132531285286,0.8735832571983337,-0.17927990853786469
0.10794381314187251,-130.85429403887164,25,-285275.37444596,-17.747637395203537,-3.0,0.31724102260972364,0.25,365.21,500.0,0.0,204800,-707.2271427658079,15.32,3.75,-0.06401888346875291,2173,-577.4352000000001,0.869270618461122,94,21.00473693327482,,,,,,,,,,,,
