2026-08-28 00:17:55,595 | INFO    | uav_swarm_ppo.episode_logger | Episode 13 ended: steps=500 total_reward=-334067.13 coverage=0.495 valid_action_frac=0.064 collisions={'uav_uav': 198, 'uav_static_obstacle': 7, 'uav_dynamic_obstacle': 6, 'uav_boundary': 1241}
2026-08-28 00:17:56,019 | INFO    | uav_swarm_ppo.episode_logger | Episode 14 started (seed=55).
2026-08-28 00:17:57,877 | INFO    | uav_swarm_ppo.episode_logger | Episode 14 ended: steps=500 total_reward=-347186.19 coverage=0.525 valid_action_frac=0.069 collisions={'uav_uav': 336, 'uav_static_obstacle': 2, 'uav_dynamic_obstacle': 1, 'uav_boundary': 1199}
2026-08-28 00:17:58,290 | INFO    | uav_swarm_ppo.episode_logger | Episode 15 started (seed=56).
2026-08-28 00:18:00,163 | INFO    | uav_swarm_ppo.episode_logger | Episode 15 ended: steps=500 total_reward=-406053.68 coverage=0.594 valid_action_frac=0.078 collisions={'uav_uav': 422, 'uav_static_obstacle': 5, 'uav_dynamic_obstacle': 3, 'uav_boundary': 1205}
2026-08-28 00:18:00,627 | INFO    | uav_swarm_ppo.episode_logger | Episode 16 started (seed=57).
2026-08-28 00:18:02,505 | INFO    | uav_swarm_ppo.episode_logger | Episode 16 ended: steps=500 total_reward=-559947.83 coverage=0.515 valid_action_frac=0.067 collisions={'uav_uav': 706, 'uav_static_obstacle': 5, 'uav_dynamic_obstacle': 1, 'uav_boundary': 1318}
2026-08-28 00:18:02,868 | INFO    | uav_swarm_ppo.episode_logger | Episode 17 started (seed=58).
2026-08-28 00:18:04,789 | INFO    | uav_swarm_ppo.episode_logger | Episode 17 ended: steps=500 total_reward=-251224.15 coverage=0.385 valid_action_frac=0.049 collisions={'uav_uav': 148, 'uav_static_obstacle': 6, 'uav_dynamic_obstacle': 1, 'uav_boundary': 1231}
2026-08-28 00:18:05,255 | INFO    | uav_swarm_ppo.episode_logger | Episode 18 started (seed=59).
2026-08-28 00:18:07,173 | INFO    | uav_swarm_ppo.episode_logger | Episode 18 ended: steps=500 total_reward=-436106.18 coverage=0.667 valid_action_frac=0.087 collisions={'uav_uav': 488, 'uav_static_obstacle': 26, 'uav_dynamic_obstacle': 0, 'uav_boundary': 1166}
2026-08-28 00:18:07,651 | INFO    | uav_swarm_ppo.episode_logger | Episode 19 started (seed=60).
2026-08-28 00:18:09,941 | INFO    | uav_swarm_ppo.episode_logger | Episode 19 ended: steps=500 total_reward=-263298.41 coverage=0.680 valid_action_frac=0.090 collisions={'uav_uav': 154, 'uav_static_obstacle': 9, 'uav_dynamic_obstacle': 4, 'uav_boundary': 1160}
2026-08-28 00:18:10,363 | INFO    | uav_swarm_ppo.episode_logger | Episode 20 started (seed=61).
2026-08-28 00:18:12,512 | INFO    | uav_swarm_ppo.episode_logger | Episode 20 ended: steps=500 total_reward=-578730.06 coverage=0.155 valid_action_frac=0.019 collisions={'uav_uav': 610, 'uav_static_obstacle': 1, 'uav_dynamic_obstacle': 2, 'uav_boundary': 1416}
2026-08-28 00:18:12,974 | INFO    | uav_swarm_ppo.episode_logger | Episode 21 started (seed=62).
2026-08-28 00:18:14,981 | INFO    | uav_swarm_ppo.episode_logger | Episode 21 ended: steps=500 total_reward=-373971.60 coverage=0.305 valid_action_frac=0.039 collisions={'uav_uav': 218, 'uav_static_obstacle': 1, 'uav_dynamic_obstacle': 0, 'uav_boundary': 1356}
2026-08-28 00:18:15,374 | INFO    | uav_swarm_ppo.episode_logger | Episode 22 started (seed=63).
2026-08-28 00:18:17,181 | INFO    | uav_swarm_ppo.episode_logger | Episode 22 ended: steps=500 total_reward=-234411.62 coverage=0.399 valid_action_frac=0.052 collisions={'uav_uav': 12, 'uav_static_obstacle': 3, 'uav_dynamic_obstacle': 0, 'uav_boundary': 1221}
2026-08-28 00:18:17,577 | INFO    | uav_swarm_ppo.episode_logger | Episode 23 started (seed=64).
2026-08-28 00:18:19,548 | INFO    | uav_swarm_ppo.episode_logger | Episode 23 ended: steps=500 total_reward=-434423.50 coverage=0.416 valid_action_frac=0.054 collisions={'uav_uav': 480, 'uav_static_obstacle': 5, 'uav_dynamic_obstacle': 7, 'uav_boundary': 1272}
2026-08-28 00:18:20,058 | INFO    | uav_swarm_ppo.episode_logger | Episode 24 started (seed=65).
2026-08-28 00:18:21,802 | INFO    | uav_swarm_ppo.episode_logger | Episode 24 ended: steps=500 total_reward=-567363.31 coverage=0.488 valid_action_frac=0.063 collisions={'uav_uav': 828, 'uav_static_obstacle': 7, 'uav_dynamic_obstacle': 3, 'uav_boundary': 1082}
2026-08-28 00:18:22,161 | INFO    | uav_swarm_ppo.episode_logger | Episode 25 started (seed=66).
2026-08-28 00:18:23,935 | INFO    | uav_swarm_ppo.episode_logger | Episode 25 ended: steps=500 total_reward=-200956.85 coverage=0.627 valid_action_frac=0.082 collisions={'uav_uav': 12, 'uav_static_obstacle': 14, 'uav_dynamic_obstacle': 1, 'uav_boundary': 1082}
2026-08-28 00:18:24,361 | INFO    | uav_swarm_ppo.episode_logger | Episode 26 started (seed=67).
2026-08-28 00:18:26,334 | INFO    | uav_swarm_ppo.episode_logger | Episode 26 ended: steps=500 total_reward=-214021.52 coverage=0.668 valid_action_frac=0.088 collisions={'uav_uav': 64, 'uav_static_obstacle': 25, 'uav_dynamic_obstacle': 3, 'uav_boundary': 1090}
2026-08-28 00:18:26,715 | INFO    | uav_swarm_ppo.episode_logger | Episode 27 started (seed=68).
2026-08-28 00:18:28,575 | INFO    | uav_swarm_ppo.episode_logger | Episode 27 ended: steps=500 total_reward=-404005.44 coverage=0.463 valid_action_frac=0.060 collisions={'uav_uav': 430, 'uav_static_obstacle': 7, 'uav_dynamic_obstacle': 1, 'uav_boundary': 1036}
2026-08-28 00:18:29,055 | INFO    | uav_swarm_ppo.episode_logger | Episode 28 started (seed=69).
2026-08-28 00:18:31,086 | INFO    | uav_swarm_ppo.episode_logger | Episode 28 ended: steps=500 total_reward=-436008.02 coverage=0.470 valid_action_frac=0.061 collisions={'uav_uav': 544, 'uav_static_obstacle': 10, 'uav_dynamic_obstacle': 4, 'uav_boundary': 1054}
2026-08-28 00:18:31,460 | INFO    | uav_swarm_ppo.episode_logger | Episode 29 started (seed=70).
2026-08-28 00:18:33,307 | INFO    | uav_swarm_ppo.episode_logger | Episode 29 ended: steps=500 total_reward=-447437.66 coverage=0.262 valid_action_frac=0.033 collisions={'uav_uav': 382, 'uav_static_obstacle': 16, 'uav_dynamic_obstacle': 2, 'uav_boundary': 1295}
2026-08-28 00:18:33,720 | INFO    | uav_swarm_ppo.episode_logger | Episode 30 started (seed=71).
2026-08-28 00:18:35,740 | INFO    | uav_swarm_ppo.episode_logger | Episode 30 ended: steps=500 total_reward=-205678.45 coverage=0.542 valid_action_frac=0.071 collisions={'uav_uav': 0, 'uav_static_obstacle': 3, 'uav_dynamic_obstacle': 6, 'uav_boundary': 1285}
2026-08-28 00:18:36,133 | INFO    | uav_swarm_ppo.episode_logger | Episode 31 started (seed=72).
2026-08-28 00:18:37,919 | INFO    | uav_swarm_ppo.episode_logger | Episode 31 ended: steps=500 total_reward=-795449.68 coverage=0.330 valid_action_frac=0.042 collisions={'uav_uav': 1300, 'uav_static_obstacle': 4, 'uav_dynamic_obstacle': 0, 'uav_boundary': 1240}
2026-08-28 00:18:38,303 | INFO    | uav_swarm_ppo.episode_logger | Episode 32 started (seed=73).
2026-08-28 00:18:40,145 | INFO    | uav_swarm_ppo.episode_logger | Episode 32 ended: steps=500 total_reward=-546548.91 coverage=0.244 valid_action_frac=0.031 collisions={'uav_uav': 586, 'uav_static_obstacle': 5, 'uav_dynamic_obstacle': 2, 'uav_boundary': 1393}
2026-08-28 00:18:40,626 | INFO    | uav_swarm_ppo.episode_logger | Episode 33 started (seed=74).
2026-08-28 00:18:42,448 | INFO    | uav_swarm_ppo.episode_logger | Episode 33 ended: steps=500 total_reward=-822534.58 coverage=0.338 valid_action_frac=0.043 collisions={'uav_uav': 1274, 'uav_static_obstacle': 6, 'uav_dynamic_obstacle': 1, 'uav_boundary': 1295}
2026-08-28 00:18:42,846 | INFO    | uav_swarm_ppo.episode_logger | Episode 34 started (seed=75).
