#{"t_start": 1787812824.2887158, "env_id": "None"}
r,l,t
-317752.284756,500,24.703877
-291994.809567,500,44.277942
-299307.251118,500,63.631151
-301592.882853,500,82.85465
-351462.704624,500,115.893319
-312588.537282,500,165.293946
-316416.374904,500,184.301782
-280021.948122,500,203.117901
-300035.059457,500,236.008784
-283039.167862,500,255.174634
-310009.295508,500,305.772011
-269031.854482,500,325.349835
-304838.268602,500,359.627961
-286670.220744,500,378.939055
-316230.6522,500,394.824771
-296667.695621,500,422.48475
-313967.117776,500,451.662236
-299477.051008,500,470.386409
-296581.291407,500,489.158797
-296049.049073,500,510.247412
-278575.065455,500,575.453727
-294051.506286,500,594.400127
-263416.564321,500,613.331453
-274198.555739,500,632.453151
-293700.607655,500,665.627366
-296869.149888,500,715.552733
-304580.407066,500,734.937897
-310145.528063,500,753.525791
-319828.549045,500,778.310151
-288088.579812,500,792.347733
-299904.318192,500,840.950601
-295526.213546,500,860.149562
-321738.231753,500,892.701168
-265539.546479,500,912.239337
-286902.339195,500,931.201943
-275250.247515,500,980.419142
-372155.249631,500,1013.248404
-277354.141446,500,1032.396854
-298736.412117,500,1051.134244
-235118.058791,500,1070.301725
-307115.485371,500,1133.204535
-287045.305691,500,1152.236775
-288626.618981,500,1171.218508
-304734.723917,500,1190.176174
-295073.672306,500,1208.848513
-278916.05056,500,1259.830761
-324125.422554,500,1278.31055
-293339.875409,500,1297.212239
-273026.67443,500,1316.09611
-288942.309773,500,1348.242432
-249519.269388,500,1396.97143
-290299.698738,500,1416.104288
-401297.211528,500,1435.480454
-264946.065765,500,1467.48026
-251417.773903,500,1486.108793
-304695.601598,500,1533.368573
-291796.204956,500,1551.841046
-262461.457576,500,1583.515058
-323218.794936,500,1601.577362
-333510.091523,500,1618.409393
-293444.443072,500,1667.055824
-273947.850646,500,1699.664996
-329944.225602,500,1718.985458
-280901.087463,500,1738.321063
-311056.949651,500,1757.700526
-292243.753245,500,1819.560121
-308375.06833,500,1838.662097
-286848.998197,500,1858.105941
-284409.592366,500,1877.237958
-334783.91157,500,1909.829945
-303457.754221,500,1959.029066
