#{"t_start": 1787812824.5572956, "env_id": "None"}
r,l,t
-371445.872195,500,28.548842
-312575.014736,500,47.637399
-242332.981253,500,67.033573
-258368.994279,500,86.307956
-309106.036663,500,119.296284
-281980.243223,500,168.555758
-307804.002632,500,187.671822
-291239.812634,500,206.607022
-314244.644753,500,239.463047
-272317.345492,500,258.625077
-283427.551624,500,309.26315
-266244.987258,500,329.904069
-296767.016174,500,363.025862
-272448.241889,500,382.313783
-264395.539116,500,398.017297
-311683.011074,500,423.8276
-328294.495976,500,454.825715
-299552.966787,500,473.609861
-291036.290961,500,493.367362
-271855.996742,500,514.115449
-272912.358656,500,578.736615
-289567.194351,500,597.722727
-267498.743639,500,616.875323
-307616.403391,500,636.302839
-337382.733384,500,669.083432
-297177.053794,500,719.098473
-390090.013203,500,738.277266
-293254.939724,500,756.94697
-250131.435072,500,779.499629
-270857.57144,500,795.919167
-299225.47889,500,844.526714
-305491.667608,500,863.64379
-330695.806432,500,896.456986
-302700.983004,500,915.671992
-304108.858874,500,934.521017
-310042.21112,500,983.887329
-287680.647876,500,1016.716292
-301688.900872,500,1035.911048
-286247.233058,500,1054.52372
-334121.22656,500,1073.685762
-281058.854857,500,1136.569593
-318273.995246,500,1155.663085
-263847.245011,500,1174.55377
-292542.153561,500,1193.630002
-334662.391117,500,1212.438067
-355044.92102,500,1263.147127
-302290.031824,500,1281.698478
-250714.481421,500,1300.609165
-296764.143684,500,1319.38255
-284211.600194,500,1351.46621
-295723.797037,500,1400.497555
-228189.193026,500,1419.665446
-290876.455893,500,1439.057316
-309370.223359,500,1470.798717
-289915.153074,500,1489.564082
-272769.112347,500,1537.040276
-275249.499962,500,1555.298665
-270684.467782,500,1586.762877
-233490.040326,500,1602.982131
-291775.817174,500,1621.815271
-280099.763366,500,1670.57888
-272638.509035,500,1703.210627
-274067.771152,500,1722.545858
-344538.090481,500,1741.900788
-274738.726901,500,1761.177083
-274638.496721,500,1822.883305
-289680.024217,500,1842.073826
-240370.899565,500,1861.525738
-289431.438878,500,1880.69864
-268487.926551,500,1913.064697
-286795.608751,500,1962.523671
-316079.616554,500,1981.721602
-254347.318294,500,2001.000402
-261722.40449,500,2033.574557
-309702.000505,500,2052.54272
-306314.711726,500,2101.412633
-305107.059026,500,2120.661131
-265932.239343,500,2151.914235
-301433.4093,500,2170.424033
-215055.521818,500,2189.560414
-252666.75263,500,2237.894294
-279255.961274,500,2269.671113
-282727.665655,500,2287.881149
-232928.966845,500,2306.204801
-272996.070424,500,2325.059107
-277593.881003,500,2372.486712
-281771.130163,500,2404.77473
-267221.107272,500,2423.25098
-217467.00397,500,2442.132227
-310941.036885,500,2460.30545
-245718.83571,500,2517.0331
-252574.513513,500,2536.286687
-175226.389948,500,2555.393424
-198781.14101,500,2574.90434
-278311.751683,500,2607.072784
-271968.923375,500,2655.987032
-245655.403651,500,2675.126727
-265997.678149,500,2694.205786
-293795.666255,500,2716.74318
-246751.73918,500,2727.584833
-265458.071182,500,2751.800956
-263700.658548,500,2763.648773
-290424.483637,500,2788.675944
-304478.28033,500,2800.377266
-274148.985433,500,2812.129829
-403849.290939,500,2835.736233
