#{"t_start": 1787812824.3871856, "env_id": "None"}
r,l,t
-231758.121829,500,5935.260595
-221354.354639,500,5952.981586
-283679.230651,500,5971.193491
-170653.984036,500,6001.962386
-181493.836277,500,6047.478451
-226585.030773,500,6065.383855
-225750.294911,500,6083.145915
-293992.321547,500,6113.565002
-210178.128506,500,6131.828679
-290707.780697,500,6177.259212
-167270.350284,500,6195.166114
-275894.927849,500,6226.152712
-147704.932278,500,6244.139503
-301596.516475,500,6262.148433
-199715.352134,500,6308.373528
-260005.763205,500,6339.270849
-214574.362701,500,6357.128518
-263200.072644,500,6374.886568
-171380.315786,500,6392.877541
-125838.149416,500,6451.547449
-167181.288885,500,6469.59264
-209263.112706,500,6487.482447
-263383.826233,500,6505.521592
-193928.398417,500,6536.410371
-243955.30365,500,6581.775252
-298141.423436,500,6598.946615
-236683.6626,500,6616.768562
-154416.355552,500,6647.535096
-156816.45866,500,6665.334338
-215177.048243,500,6712.112299
-212661.893005,500,6729.834075
-211123.40824,500,6760.854046
-145946.749819,500,6778.786496
-163210.556867,500,6796.754392
-213615.91918,500,6843.305352
-95515.440665,500,6874.731696
-117884.127204,500,6892.290028
-285369.771059,500,6909.788432
-277293.913541,500,6927.443887
-303996.145758,500,6986.891116
-170813.845079,500,7005.226741
-175980.518495,500,7023.119136
-155990.136996,500,7041.29747
-189798.546113,500,7058.98165
-173699.7412,500,7118.982307
-98624.043708,500,7137.165613
-259357.093229,500,7155.1249
-167446.141727,500,7173.017324
-190566.396327,500,7204.307275
-172117.885113,500,7251.532809
-131005.736566,500,7269.857719
-180960.644708,500,7287.75375
-238435.835182,500,7318.961681
-145587.166624,500,7337.236842
-175375.103189,500,7384.699292
-308060.139299,500,7402.587065
-363992.689715,500,7433.523285
-240263.243607,500,7451.869732
-223448.069655,500,7470.002868
-149726.9558,500,7517.189008
-147865.83858,500,7546.60178
-100573.986194,500,7554.191185
-148270.955434,500,7559.658639
-126858.492606,500,7564.837726
-111565.753575,500,7580.249116
-212222.118663,500,7584.34991
-319449.545511,500,7588.300268
-275069.81018,500,7592.240682
-216911.232688,500,7599.872195
-147460.98955,500,7610.395469
-167036.072733,500,7614.409804
-248987.564327,500,7618.374024
-90240.904702,500,7625.649298
-163428.851337,500,7629.684106
-151427.095375,500,7640.524045
-251886.943262,500,7644.492471
-136194.14505,500,7652.008625
-202575.422353,500,7656.391277
-286665.164205,500,7660.599024
-237252.151988,500,7671.999949
-143386.796736,500,7680.017026
-191337.512747,500,7684.150162
-184475.124319,500,7688.217063
-174942.543212,500,7692.340621
-92440.610514,500,7707.158348
-214346.892775,500,7711.302341
-147929.995181,500,7715.536337
-222120.471145,500,7719.835944
-152573.91296,500,7724.066874
-160952.655763,500,7739.226353
-206586.145424,500,7743.378289
-180664.657371,500,7747.479347
-191311.603112,500,7751.67402
-165018.552611,500,7760.567883
-166807.166284,500,7792.079661
-197935.240806,500,7807.458713
-292848.186189,500,7822.152628
-167013.317706,500,7839.970342
-149666.921919,500,7847.069305
-289610.313127,500,7861.83526
-166593.045399,500,7866.625009
-173350.35903,500,7875.058448
