#{"t_start": 1787812824.474962, "env_id": "None"}
r,l,t
-313475.389833,500,27.465768
-331064.368014,500,46.50387
-307101.242323,500,65.90717
-288995.880218,500,85.174754
-322995.304847,500,118.172153
-329196.037685,500,167.454063
-284900.986605,500,186.56921
-306921.90061,500,205.449994
-362454.567063,500,238.276463
-291934.210876,500,257.451734
-263585.945005,500,308.095744
-344771.017626,500,328.324207
-347943.319346,500,361.86204
-336127.768583,500,381.222061
-283267.942383,500,396.929591
-301879.939529,500,423.402266
-319559.467685,500,453.765704
-291220.153245,500,472.579787
-264318.717797,500,492.000275
-308575.508646,500,512.841523
-273680.574308,500,577.65395
-277061.412448,500,596.626891
-329817.751729,500,615.664047
-283941.316075,500,635.199171
-326558.948819,500,667.897161
-302498.614247,500,717.923224
-322325.826124,500,737.167127
-320198.87197,500,755.741254
-332783.050968,500,779.104498
-330156.893869,500,794.729461
-298796.294351,500,843.346649
-314041.289414,500,862.482479
-377761.379432,500,895.208279
-295698.970727,500,914.536901
-311423.258121,500,933.428399
-393473.979294,500,982.732869
-303347.406844,500,1015.59395
-304157.838115,500,1034.768803
-277697.966078,500,1053.389192
-351190.35585,500,1072.552682
-281806.681847,500,1135.448379
-305778.879064,500,1154.562373
-329219.556695,500,1173.445516
-317869.650504,500,1192.479925
-259901.304051,500,1211.232481
-300033.506746,500,1262.010607
-294273.774119,500,1280.591178
-309270.843882,500,1299.466549
-365807.314596,500,1318.29186
-293619.549317,500,1350.401398
-278450.423589,500,1399.334146
-323441.087622,500,1418.474013
-292354.95321,500,1437.892698
-294122.646502,500,1469.718939
-285968.067325,500,1488.427387
-340313.723365,500,1535.800211
-282921.0889,500,1554.134467
-325710.740932,500,1585.663955
-259620.825004,500,1602.290055
-291135.904962,500,1620.692391
-254694.684582,500,1669.41898
-216140.854104,500,1702.014274
-310592.369889,500,1721.370558
-270589.07155,500,1740.717139
-242465.750399,500,1760.020933
-311792.368542,500,1821.733846
-241794.312419,500,1840.937145
-259875.480102,500,1860.407707
-327980.290125,500,1879.531754
-272430.233845,500,1911.995919
-286083.71194,500,1961.370752
-302521.377052,500,1980.540096
-277818.721127,500,1999.859991
-305560.18176,500,2032.481615
-317587.912129,500,2051.474293
-268726.975924,500,2100.264996
-225112.771305,500,2119.496259
-317303.97921,500,2150.804636
-307342.29734,500,2169.294548
-303885.187084,500,2188.431589
-258621.589484,500,2236.775161
-282586.678637,500,2268.585697
-307809.132143,500,2286.708956
-286391.629905,500,2305.046731
-290716.841925,500,2323.884217
-314882.884456,500,2371.313744
-222150.942173,500,2403.636666
-230658.637416,500,2422.120842
-254213.49513,500,2441.010294
-326507.895421,500,2459.27005
-377403.874308,500,2515.862979
-309554.455757,500,2535.149628
-175630.734564,500,2554.250424
-225503.259164,500,2573.753395
-353306.389752,500,2605.945296
-441144.756383,500,2654.803762
-263467.074276,500,2673.972577
-295828.263965,500,2693.014852
-381976.876968,500,2716.203102
-314119.183804,500,2727.149457
-255240.90393,500,2751.320148
-270506.344265,500,2763.078391
-285073.572898,500,2788.08886
-255229.285367,500,2799.88057
-269505.159751,500,2811.635772
-282007.358759,500,2835.357001
-238612.162843,500,2847.966598
-289596.733472,500,2854.444244
-259202.654829,500,2860.883407
-259373.761189,500,2867.049568
-215660.379077,500,2888.465331
-277217.70691,500,2894.448993
-285423.222416,500,2900.220669
-308590.18076,500,2909.216512
-208569.636462,500,2938.810578
-281956.687176,500,2978.391846
-323127.061343,500,2993.781942
-284601.730015,500,3008.280519
-254550.737784,500,3035.645969
-274691.159322,500,3051.227682
-236558.187234,500,3088.509084
-297360.961392,500,3101.654594
-256391.178888,500,3114.744105
-293179.908669,500,3123.103789
-218884.547306,500,3134.567383
-201735.634984,500,3161.617321
-320076.482128,500,3175.055395
-258360.023327,500,3181.222944
-206797.296652,500,3187.36291
-301947.735388,500,3193.614705
-290818.613305,500,3212.198437
-292798.436362,500,3226.012569
-262525.45883,500,3232.562777
-225162.998411,500,3238.841986
-304542.324165,500,3244.901278
-248377.61988,500,3267.033483
-278658.688949,500,3273.279983
-299722.274762,500,3281.227288
-265478.929614,500,3289.80282
-318514.903746,500,3310.519168
-264069.98789,500,3326.631472
-209157.453879,500,3332.251729
-231502.955097,500,3338.586663
-332916.955357,500,3352.060808
-296556.272993,500,3358.206647
-190648.710174,500,3375.14823
-261655.944031,500,3381.975003
-206058.779381,500,3395.879813
-243171.86319,500,3402.873224
-293853.859973,500,3409.329838
-347884.124032,500,3428.004039
-258262.475283,500,3441.640338
-301577.229121,500,3448.338106
-248444.070752,500,3457.883667
-249019.255764,500,3470.876899
-240912.282241,500,3510.147812
-213941.509508,500,3521.303723
-240724.334241,500,3528.14019
-193661.576714,500,3534.515364
-239853.980875,500,3546.48735
-311300.232771,500,3563.716636
-227145.838229,500,3570.885995
-265827.709349,500,3577.708434
-307210.153202,500,3590.497854
-202874.283643,500,3596.665092
-231141.423376,500,3614.112076
-168621.660755,500,3620.9841
-254481.053813,500,3633.350951
-253458.802268,500,3639.645563
-308158.871867,500,3646.220738
-240674.593467,500,3662.43714
-284831.29548,500,3669.594137
-295765.683216,500,3681.776047
-226475.371875,500,3688.077832
-327122.42309,500,3694.668497
-225677.829172,500,3711.922728
-180057.497506,500,3724.306939
-305170.974216,500,3731.448875
-295425.755846,500,3738.159806
-245855.483359,500,3745.130626
-231005.063,500,3768.583201
-337147.129233,500,3774.751571
-328095.108694,500,3780.727566
-244608.425746,500,3787.188348
-258155.139283,500,3799.174428
-261444.711573,500,3816.050912
-220981.185345,500,3823.116593
-250793.27439,500,3830.333073
-306425.05328,500,3842.886249
-190613.185738,500,3849.69745
-287039.808295,500,3867.436631
-252521.783667,500,3874.253969
-206572.23996,500,3886.659606
-186650.709048,500,3893.32085
-241658.407715,500,3899.762971
-241539.764757,500,3916.481664
-186046.339165,500,3929.628617
-269267.621643,500,3936.032634
-273931.896145,500,3942.313689
-208132.782114,500,3948.596965
-240846.15444,500,3971.336283
-247939.951628,500,3978.323185
-209475.759644,500,3985.474531
-212303.525227,500,3991.996292
-277900.175232,500,4004.801348
-266513.568605,500,4019.73174
-239027.178158,500,4026.722666
-234507.46293,500,4033.481542
-190775.249449,500,4045.798977
-245748.97662,500,4052.22952
-270059.80758,500,4068.535015
