#{"t_start": 1787770268.0385835, "env_id": "None"}
r,l,t
-313475.389833,500,10.806822
-337399.985285,500,33.885293
-321450.804469,500,55.527556
-290703.21765,500,64.228715
-318416.416951,500,72.771606
-329897.901174,500,91.811636
-294354.460815,500,99.968027
-265261.496028,500,109.241515
-334015.801475,500,117.900026
-287626.725897,500,126.605787
-280200.473247,500,144.846039
-292941.522951,500,151.723824
-330355.378416,500,159.089545
-326266.807038,500,165.837661
-271232.106777,500,172.911646
-319189.011273,500,192.149942
-282113.253593,500,199.945832
-294808.259706,500,208.128157
-277859.055831,500,214.710317
-325478.74271,500,222.73921
-305636.317627,500,240.78855
-246864.368016,500,247.700068
-295746.128214,500,254.421158
-265144.764823,500,261.074208
-293119.501588,500,267.639525
-284752.096556,500,282.547731
-301646.067072,500,289.033325
-299528.403513,500,295.37763
-309954.576761,500,301.733745
-321741.561619,500,308.183164
-297721.62647,500,325.196877
-290045.763082,500,332.427109
-263012.752603,500,338.82215
-308446.099228,500,345.13513
-368546.962655,500,351.695215
-315247.834299,500,366.64104
-274366.396212,500,373.125221
-299272.225745,500,379.517075
-242141.218009,500,385.861491
-305637.3242,500,392.456527
-322313.615544,500,407.577734
-304156.010514,500,414.197908
-345611.384713,500,419.104628
-270447.154308,500,425.378869
-216680.302578,500,431.512126
-308279.325912,500,446.185114
-255550.378522,500,452.577641
-304214.99256,500,459.109553
-263793.874146,500,465.471931
-300109.570487,500,471.923278
-292005.327496,500,487.115984
-309217.488584,500,493.414579
-320091.547091,500,499.886332
-317932.536266,500,506.311027
-272007.042215,500,512.742772
-269062.994033,500,527.296062
-260199.248331,500,533.739991
-245676.82063,500,540.076005
-263263.352799,500,546.508807
-310451.03621,500,552.940444
-279124.596949,500,568.210464
-294978.317531,500,586.62815
-258340.490934,500,593.129789
-232883.145447,500,600.034479
-280280.572718,500,607.152555
-301902.65352,500,621.921421
-245094.938053,500,628.317858
-231727.505467,500,634.929821
-289257.506899,500,641.451826
-260039.035828,500,647.846611
-303917.229002,500,662.900355
-336013.754738,500,669.438654
-283286.657075,500,675.851588
-321615.411536,500,682.071453
-281633.241576,500,688.541949
-334019.558038,500,703.578741
-280157.076163,500,709.988127
-242252.769136,500,716.383621
-249165.010851,500,722.688767
-291907.621904,500,728.93079
-261102.493249,500,743.556892
-247665.612228,500,749.769478
-278115.931551,500,756.481759
-336381.429793,500,762.799073
-237709.153228,500,769.285936
-252699.463283,500,782.930501
-187620.335659,500,789.580973
-266731.797593,500,795.88515
-281979.17416,500,802.19654
-350290.297034,500,808.458535
-268310.782649,500,823.703986
-277505.727118,500,843.210405
-203565.223535,500,864.550437
-273823.519876,500,885.915285
-239233.584891,500,907.399144
-265706.567676,500,957.471227
-306845.529775,500,978.355057
-252856.75992,500,999.766654
-244792.433773,500,1020.895159
-277662.298869,500,1042.233357
