#{"t_start": 1787770268.0059116, "env_id": "None"}
r,l,t
-310483.835151,500,9.873343
-288462.975054,500,32.663254
-312745.741862,500,55.103956
-287210.384783,500,63.842026
-248114.235442,500,72.280414
-305146.912258,500,91.189076
-292323.668028,500,99.472564
-281137.520868,500,108.537439
-283316.801528,500,117.507126
-273312.066322,500,125.800793
-259338.878754,500,144.498335
-316632.892113,500,151.354392
-270896.424217,500,158.800205
-316327.680706,500,165.523645
-284037.735567,500,172.616657
-304130.835137,500,191.690775
-280334.940648,500,199.454836
-271722.854749,500,207.770914
-291378.805837,500,214.409067
-278139.516788,500,222.037227
-296687.057698,500,240.461667
-277383.224863,500,247.371552
-295630.774832,500,254.098807
-267960.962072,500,260.749949
-309656.229586,500,267.286412
-323546.599842,500,282.234081
-266834.56607,500,288.65533
-279551.86983,500,295.087447
-324230.578002,500,301.44138
-280355.547973,500,307.826595
-305029.230813,500,324.758501
-296699.794712,500,332.129066
-292327.017696,500,338.51588
-335969.698129,500,344.845183
-311302.080136,500,351.39263
-257666.784379,500,366.343657
-330111.149563,500,372.778302
-297450.993764,500,379.176506
-263243.120498,500,385.559354
-324314.023216,500,392.10106
-309530.014706,500,407.240947
-283378.111536,500,413.860532
-283791.081946,500,418.788037
-270643.481583,500,425.082392
-330264.020082,500,431.21082
-357409.506441,500,445.861883
-323995.208292,500,452.261354
-326013.254979,500,458.811625
-295078.168541,500,465.130885
-245474.676686,500,471.620614
-295431.395541,500,486.810848
-359034.022606,500,493.083996
-299199.29952,500,499.556329
-303147.536959,500,505.971299
-273921.544624,500,512.427536
-283995.069302,500,526.979904
-265363.461154,500,533.451419
-353563.475315,500,539.744449
-344633.037032,500,546.219075
-263182.622896,500,552.646458
-319754.823652,500,567.363515
-284621.160581,500,586.32039
-274914.004208,500,592.818044
-298383.99164,500,599.542653
-294469.737391,500,606.806008
-319365.7267,500,621.636082
-300569.464336,500,627.94866
-289568.467634,500,634.634148
-265536.531323,500,641.145902
-319170.427085,500,647.47157
-333924.026135,500,662.572182
-267177.071751,500,669.142087
-323855.941714,500,675.554736
-263548.306406,500,681.773362
-278280.405236,500,688.201806
-286124.807613,500,703.237442
-293294.990954,500,709.62196
-303583.691515,500,716.013504
-270824.505828,500,722.394627
-303725.358886,500,728.606695
-320144.622044,500,743.262184
-291482.169616,500,749.384956
-271922.780969,500,756.143724
-307452.295209,500,762.484907
-322342.289852,500,768.969869
-428218.569882,500,782.616044
-297629.708449,500,789.260802
-251221.687516,500,795.588969
-280776.087957,500,801.877405
-243429.77792,500,808.135478
-284825.73601,500,823.386317
-334012.770082,500,842.145776
-250558.804936,500,863.458549
-286850.685036,500,884.824855
-261976.39903,500,906.322958
-335768.943505,500,956.360189
-284782.526976,500,977.247745
-284358.835408,500,998.651008
-248501.484287,500,1019.805294
-291769.507641,500,1041.14235
