#{"t_start": 1787770268.0620363, "env_id": "None"}
r,l,t
-371445.872195,500,11.967805
-284446.416565,500,35.112277
-256346.437958,500,55.974063
-259120.253021,500,64.621505
-288605.608601,500,73.311398
-302264.373654,500,92.181523
-303243.385248,500,100.40654
-325045.181192,500,110.053393
-344019.818399,500,118.279966
-248139.485251,500,127.32784
-255769.61228,500,145.159349
-282688.36623,500,152.239964
-284650.677028,500,159.389164
-357966.592883,500,166.169179
-255807.589724,500,173.207707
-334572.788297,500,192.523915
-320255.724311,500,200.412723
-331451.069068,500,208.477115
-297483.455816,500,215.006015
-296345.244593,500,223.406959
-315747.907575,500,241.196749
-371085.598058,500,248.011934
-327134.361161,500,254.779345
-273809.059079,500,261.399594
-350284.696174,500,267.973544
-298662.744258,500,282.837461
-382692.91051,500,289.376078
-296461.069234,500,295.675821
-277457.897231,500,302.029637
-261299.002806,500,308.581855
-278802.879612,500,325.666658
-325616.683973,500,332.722688
-388559.056424,500,339.145197
-313564.679371,500,345.431344
-291245.552531,500,352.000967
-322815.426856,500,366.931143
-277040.07416,500,373.465925
-323854.149059,500,379.81035
-294844.027131,500,386.200647
-308344.957858,500,392.851862
-316621.407842,500,407.993571
-305692.04306,500,414.536422
-311899.754438,500,419.40866
-344047.45933,500,425.675738
-318068.022086,500,431.80839
-283057.818861,500,446.528087
-308811.764284,500,452.893869
-325316.054659,500,459.521355
-287922.804877,500,465.805743
-260306.945292,500,472.31662
-354991.719312,500,487.460003
-253297.310047,500,493.778644
-344953.347304,500,500.247824
-268043.014142,500,506.605441
-277214.830722,500,513.061964
-289520.12853,500,527.642491
-286946.979849,500,534.038324
-295236.03753,500,540.426223
-271277.070293,500,546.823595
-294630.419588,500,553.251785
-263683.435754,500,569.920504
-232469.818063,500,586.92029
-314099.113512,500,593.460305
-273608.168764,500,600.469964
-321281.587271,500,607.490579
-272761.297098,500,622.218541
-302374.811927,500,628.69165
-288623.374626,500,635.231325
-259361.539989,500,641.761242
-329018.935893,500,648.195695
-273152.373235,500,663.205168
-327269.480725,500,669.832269
-217119.469658,500,676.19333
-275939.607038,500,682.379854
-278239.32213,500,688.845242
-292939.446206,500,703.893646
-279559.82466,500,710.359554
-278845.149555,500,716.682443
-314815.105593,500,722.982238
-267800.063523,500,729.226274
-279928.467826,500,743.870356
-332476.495366,500,750.226707
-218109.854894,500,756.792127
-265047.243879,500,763.146249
-288479.106369,500,769.595686
-251875.625865,500,783.424467
-274396.121661,500,789.910539
-274377.466432,500,796.178749
-276160.270808,500,802.512531
-278479.321781,500,808.793221
-302076.619135,500,824.01649
-199255.694635,500,844.328644
-203094.51459,500,865.631809
-271403.064363,500,886.98277
-314482.66654,500,908.477665
-331666.832909,500,958.568154
-320143.170374,500,979.464011
-223790.741906,500,1000.880957
-337599.153703,500,1022.069593
-315668.78198,500,1043.347287
