episode,seed,steps,total_reward,coverage_fraction,valid_action_fraction,reward_exploration,reward_coverage,reward_collision_avoidance,reward_boundary,reward_dynamic_obstacle_avoidance,reward_uav_separation,reward_mission_completion,reward_energy_efficiency,collisions_uav_uav,collisions_uav_static_obstacle,collisions_uav_dynamic_obstacle,collisions_uav_boundary
1,42,500,-594693.2472045028,0.527363184079602,0.06866666666666667,1078.8344948473703,52555.95994878375,-10500.0,-574984.2800000036,-1116.219790272972,-53001.42348056677,0.0,-8726.118377293751,116,9,6,1103
2,43,500,-614444.6967501695,0.5343137254901961,0.07066666666666667,1031.7402277214571,54485.43134093556,-14400.0,-582560.470000003,-1595.3346536123538,-62747.9977727958,0.0,-8658.065892418881,138,18,3,1123
3,44,500,-406096.39847210096,0.67,0.08733333333333333,1633.9521292007255,51445.72629313819,-8300.0,-407358.45999999985,-777.5985574209699,-33776.0832521276,0.0,-8963.93508489093,74,8,0,879
